ID,media,site
1,0.1720526263509926,RI
2,0.40264095887541773,MA
3,0.2243519149986761,FA
4,0.08769282967680031,GI
5,0.37742087166560323,FR
6,0.07847526617762116,CB
7,0.4281111936035909,PI
8,0.16624761337325686,BR
9,0.07676875914790128,AR
10,0.0619999982024494,CR
11,0.360861761495471,HG
12,0.43289299888743293,SA
13,0.25733242066282974,PV
14,0.6190277905691237,LG
15,0.15064855194405505,CZ
16,0.10650220572164185,HV
17,0.09369802599151929,UC
18,0.4585634862121783,CA
19,0.09942380782394182,CO
20,0.44915943557307836,RO
21,0.4111488837944834,OB
22,0.4558637404725665,PR
23,0.80887770652771,CP
