ID,media,site
1,0.23407441281368224,RI
2,0.527601097557841,MA
3,0.1616434609085995,FA
4,0.18955556976062984,GI
5,0.49971008138997214,FR
6,0.22047147458795918,CB
7,0.43188433683124083,PI
8,0.2791144243706871,BR
9,0.19030353786689894,AR
10,0.10008920752914417,CR
11,0.40131177991628647,HG
12,0.45648426082970084,SA
13,0.31025229671171733,PV
14,0.6653555496777902,LG
15,0.1977238265861725,CZ
16,0.2109584610231898,HV
17,0.10524181545902551,UC
18,0.3968333034532737,CA
19,0.2618447162210941,CO
20,0.2974109349214593,RO
21,0.3175120334339778,OB
22,0.4673405274665555,PR
23,0.6115300778882297,CP
