ID,media,site
1,0.43323714191208595,RI
2,0.5622954291899008,MA
3,0.14552336132159543,FA
4,0.244763852664248,GI
5,0.480432638547301,FR
6,0.4194063403088882,CB
7,0.4110268053263662,PI
8,0.2878087292050579,BR
9,0.41591308821010503,AR
10,0.12121370143195062,CR
11,0.4081144154682317,HG
12,0.35754438274834655,SA
13,0.26858924418674496,PV
14,0.6184479873359203,LG
15,0.22099663986856413,CZ
16,0.15216700936660535,HV
17,0.14744556735540493,UC
18,0.2971559110126401,CA
19,0.27389622944447267,CO
20,0.1537511470769801,RO
21,0.36773636367636175,OB
22,0.37111843807485506,PR
23,0.6148991234664081,CP
