ID,media,site
1,0.16226334164017125,RI
2,0.4022953450679779,MA
3,0.27044795027800966,FA
4,0.10469305246240562,GI
5,0.32857630676344823,FR
6,0.08941745768404669,CB
7,0.40682329904091985,PI
8,0.15128741129523232,BR
9,0.06903665223600049,AR
10,0.06433026139673434,CR
11,0.4073589190840721,HG
12,0.38819979214006,SA
13,0.24841183423995972,PV
14,0.5062022053060078,LG
15,0.1186616505055051,CZ
16,0.06845657669595982,HV
17,0.1100216241967347,UC
18,0.3704125845902844,CA
19,0.11682193655343283,CO
20,0.36461172856035684,RO
21,0.24782461790662064,OB
22,0.3953222706913948,PR
23,0.6174445407731193,CP
