ID,media,site
1,0.24022486220268657,RI
2,0.388579982786196,MA
3,0.1465513123586541,FA
4,0.2145950763815273,GI
5,0.3963482434918412,FR
6,0.31720018531225574,CB
7,0.38408392498922045,PI
8,0.30267390066076466,BR
9,0.36555831762572755,AR
10,0.1143212920516654,CR
11,0.3690312297340255,HG
12,0.3451379108167178,SA
13,0.2904654985978727,PV
14,0.475812875521183,LG
15,0.20744287030014769,CZ
16,0.15946720945761664,HV
17,0.1284484357566862,UC
18,0.2724452420122517,CA
19,0.2340681708072579,CO
20,0.1446757190621925,RO
21,0.35901458411010356,OB
22,0.35635353228377836,PR
23,0.5672192071931723,CP
