ID,media,site
1,0.21560855510716254,RI
2,0.5181959841843586,MA
3,0.15028142689576876,FA
4,0.2148575766813262,GI
5,0.4738691676455208,FR
6,0.2575329856854529,CB
7,0.4131330720704249,PI
8,0.28742872524815494,BR
9,0.2536281993306136,AR
10,0.10203648491444746,CR
11,0.3617278181157912,HG
12,0.3931175262495211,SA
13,0.3177019851487894,PV
14,0.6350234120890692,LG
15,0.21216354404048177,CZ
16,0.20758662008576922,HV
17,0.11730159446299553,UC
18,0.3540226336194879,CA
19,0.22289181175751807,CO
20,0.2618605570577181,RO
21,0.3172491125475902,OB
22,0.3622032074401012,PR
23,0.5992476678160855,CP
