ID,media,site
1,0.2025692051883494,RI
2,0.4975580895940463,MA
3,0.14216422105713164,FA
4,0.18512341046663022,GI
5,0.4459435651983534,FR
6,0.21126151992089187,CB
7,0.38832169993855487,PI
8,0.2488585988569526,BR
9,0.19120652111513273,AR
10,0.09694107515687618,CR
11,0.38829210008893694,HG
12,0.4173333601191126,SA
13,0.27013287855046136,PV
14,0.5917341371155318,LG
15,0.18895854236793586,CZ
16,0.19452514143829996,HV
17,0.09341907741459594,UC
18,0.3709056178909536,CA
19,0.2192874849670463,CO
20,0.3092155755907929,RO
21,0.29933908274083326,OB
22,0.3604640209391796,PR
23,0.6237262769435745,CP
