ID,media,site
1,0.3160765467818533,RI
2,0.5294795335181015,MA
3,0.15112491161694044,FA
4,0.18391022421205525,GI
5,0.3890130946465901,FR
6,0.21121199768699778,CB
7,0.41848809353407773,PI
8,0.2835520413293186,BR
9,0.18577847185943808,AR
10,0.08210888024617385,CR
11,0.38948736152478625,HG
12,0.3891489366176485,SA
13,0.31287738357271466,PV
14,0.6577606717301481,LG
15,0.17891058843882604,CZ
16,0.19001505205100824,HV
17,0.09903124713442098,UC
18,0.3681298008662204,CA
19,0.23387932589070665,CO
20,0.2826650777231839,RO
21,0.2902282325739271,OB
22,0.4993158720808322,PR
23,0.6683316602750146,CP
