ID,media,site
1,0.18501262837334684,RI
2,0.36361949145793915,MA
3,0.2765009452899297,FA
4,0.08824499779277378,GI
5,0.5488408600029192,FR
6,0.10244499772994055,CB
7,0.4413524430833365,PI
8,0.15036682145936148,BR
9,0.09130122551792547,AR
10,0.07687754242828018,CR
11,0.41329398937523365,HG
12,0.5023007310099072,SA
13,0.24949560706552706,PV
14,0.6041783917517889,LG
15,0.14259332967431923,CZ
16,0.11855911973275636,HV
17,0.10569814406335354,UC
18,0.4626092863710303,CA
19,0.10428221914030257,CO
20,0.42937173410540536,RO
21,0.3857899880722949,OB
22,0.46858491180908113,PR
23,0.7007782416684287,CP
