ID,media,site
1,0.36782092997393667,RI
2,0.4645765345646228,MA
3,0.1616141583357239,FA
4,0.2508510518214772,GI
5,0.4661160040537137,FR
6,0.43103604529869555,CB
7,0.4339315565730993,PI
8,0.3148105512428806,BR
9,0.39621702785556245,AR
10,0.1371593750342775,CR
11,0.39914798012185565,HG
12,0.3928589108762804,SA
13,0.2991393973198771,PV
14,0.6158696844160557,LG
15,0.24803004787802987,CZ
16,0.17579723646447162,HV
17,0.15046171153942606,UC
18,0.31203209385145975,CA
19,0.2993297473716132,CO
20,0.17132933506426468,RO
21,0.39020591360418655,OB
22,0.39580775214529845,PR
23,0.5704844593971646,CP
