ID,media,site
1,0.2283693648738632,RI
2,0.36431894277171567,MA
3,0.12575233222483656,FA
4,0.19191612925473162,GI
5,0.35295093149337964,FR
6,0.2756129656086319,CB
7,0.36099919830980265,PI
8,0.2750488430649702,BR
9,0.31077304045170334,AR
10,0.0838511031779664,CR
11,0.34020932774011686,HG
12,0.31119529710715566,SA
13,0.2564795181296421,PV
14,0.4347311046466231,LG
15,0.16427211959813381,CZ
16,0.12181067496740337,HV
17,0.10712321961256556,UC
18,0.2290796577419916,CA
19,0.199747060115951,CO
20,0.11266125123477946,RO
21,0.31742659157749037,OB
22,0.3195301709448398,PR
23,0.5089927078253451,CP
