ID,media,site
1,0.1748234245337938,RI
2,0.4079541824758053,MA
3,0.258842697810559,FA
4,0.10143189566830794,GI
5,0.3197149328495327,FR
6,0.08880447736009955,CB
7,0.42412868063700826,PI
8,0.14865437575748988,BR
9,0.07665823243166271,AR
10,0.06316281629628256,CR
11,0.40146418325603006,HG
12,0.382141027185652,SA
13,0.24460135008159437,PV
14,0.5471121228876568,LG
15,0.1369779243281013,CZ
16,0.09088777358594693,HV
17,0.106170069736739,UC
18,0.39099846113669245,CA
19,0.10742211767605372,CO
20,0.38417663886433556,RO
21,0.30674294735255997,OB
22,0.4386158110130401,PR
23,0.6889148808660961,CP
