ID,media,site
1,0.36886806629095853,RI
2,0.518343022398356,MA
3,0.16394252458318942,FA
4,0.19318217800758863,GI
5,0.43773736847298483,FR
6,0.22538374110093612,CB
7,0.41496659731813546,PI
8,0.31403888554986065,BR
9,0.15511652737074266,AR
10,0.0792920452696029,CR
11,0.39942718100068825,HG
12,0.40097716095289965,SA
13,0.27271542157445633,PV
14,0.5739888510557526,LG
15,0.15313479655700596,CZ
16,0.13502911176791796,HV
17,0.09323064022332388,UC
18,0.3337151746011593,CA
19,0.17818591552398477,CO
20,0.1870589285249043,RO
21,0.2338272524224869,OB
22,0.374363755198539,PR
23,0.5387100051339279,CP
