ID,media,site
1,0.3050325988685783,RI
2,0.5246834982282076,MA
3,0.16621043513579345,FA
4,0.14628482367261314,GI
5,0.3715230540372431,FR
6,0.14498471976493638,CB
7,0.40552574320684504,PI
8,0.22896153207581776,BR
9,0.1337668064461468,AR
10,0.07183133457729127,CR
11,0.41586373914033176,HG
12,0.42037837302837616,SA
13,0.25392283736728133,PV
14,0.5828336540021395,LG
15,0.14372038510045967,CZ
16,0.06750069644384651,HV
17,0.09561732634194667,UC
18,0.3571365671350232,CA
19,0.14561524874984455,CO
20,0.23230077743142222,RO
21,0.21612404743091593,OB
22,0.3958449476900009,PR
23,0.5573060422753676,CP
