ID,media,site
1,0.2393986051784286,RI
2,0.4322683935364087,MA
3,0.15242270778902378,FA
4,0.1344545527594164,GI
5,0.3069911625236273,FR
6,0.12303221460337503,CB
7,0.38390497023923487,PI
8,0.21556372505923113,BR
9,0.13070169067941606,AR
10,0.07280524000525475,CR
11,0.4132938599213958,HG
12,0.3596445713669826,SA
13,0.2684470904991031,PV
14,0.5870608063904863,LG
15,0.1588942292088177,CZ
16,0.124493299853764,HV
17,0.10838880875631224,UC
18,0.3508999907423424,CA
19,0.18911806914286736,CO
20,0.29383384237686794,RO
21,0.2775558136592183,OB
22,0.46308877911323154,PR
23,0.6193848888461406,CP
