ID,media,site
1,0.28296314370937836,RI
2,0.42126793948592095,MA
3,0.15031241373183618,FA
4,0.18566547711987855,GI
5,0.41355070570790314,FR
6,0.23844339735576517,CB
7,0.42233832247778536,PI
8,0.332275300552376,BR
9,0.19835372150859418,AR
10,0.08160254784105789,CR
11,0.3672153026254588,HG
12,0.3384501464949672,SA
13,0.3196450715725918,PV
14,0.512388591932786,LG
15,0.1659644195508912,CZ
16,0.16729778378235458,HV
17,0.11522117617001501,UC
18,0.304495400052138,CA
19,0.21838989442202467,CO
20,0.22475432511868249,RO
21,0.2724916592249848,OB
22,0.35708351020972867,PR
23,0.5405730530492758,CP
