ID,media,site
1,0.21939075164771518,RI
2,0.40982893859171027,MA
3,0.1421584230957729,FA
4,0.19403828376352455,GI
5,0.4001625565977036,FR
6,0.1975575423322227,CB
7,0.4201164851640865,PI
8,0.32390019910123485,BR
9,0.21251255123142176,AR
10,0.08352054067044741,CR
11,0.37210271551120505,HG
12,0.34557178070780575,SA
13,0.3364538843229366,PV
14,0.4982720552036515,LG
15,0.17422708635153375,CZ
16,0.21335525312534873,HV
17,0.09883561544529439,UC
18,0.3150534540686199,CA
19,0.2031364778128152,CO
20,0.2201642408855469,RO
21,0.32066122063984853,OB
22,0.41076916905167776,PR
23,0.6069359349904773,CP
