ID,m,Site
1,52.44904458598726,RI
2,12.51602564102564,MA
3,88.02215189873418,FA
4,69.76190476190476,GI
5,19.143312101910826,FR
6,65.0732484076433,CB
7,36.58860759493671,PI
8,57.69206349206349,BR
9,69.49367088607595,AR
10,95.66349206349206,CR
11,44.541666666666664,HG
12,45.9297124600639,SA
13,54.458333333333336,PV
14,3.532051282051282,LG
15,76.4,CZ
16,79.76433121019109,HV
17,95.46325878594249,UC
18,52.32492113564669,CA
19,75.74367088607595,CO
20,58.38019169329073,RO
21,53.1015873015873,OB
22,33.58227848101266,PR
23,7.663492063492064,CP
