ID,m,Site
1,70.52631578947368,RI
2,29.5,MA
3,71.25,FA
4,100,GI
5,10.857142857142858,FR
6,95.83333333333333,CB
7,25.42105263157895,PI
8,97.21052631578948,BR
9,92.72222222222223,AR
10,100,CR
11,27.285714285714285,HG
12,24.105263157894736,SA
13,75.6842105263158,PV
14,0,LG
15,89.16666666666667,CZ
16,100,HV
17,97.38095238095238,UC
18,56,CA
19,99.58823529411765,CO
20,25,RO
21,58.10526315789474,OB
22,20.4,PR
23,0,CP
