ID,m,Site
1,66.76923076923077,RI
2,14.423076923076923,MA
3,85.1875,FA
4,90.79746835443038,GI
5,21.772151898734176,FR
6,92.0125,CB
7,44.85,PI
8,78.71794871794872,BR
9,83.1923076923077,AR
10,98.53846153846153,CR
11,32.608108108108105,HG
12,34.717948717948715,SA
13,62.67948717948718,PV
14,0,LG
15,77.32051282051282,CZ
16,90.475,HV
17,98.01298701298701,UC
18,50.225,CA
19,82.9113924050633,CO
20,40.80769230769231,RO
21,57.08641975308642,OB
22,21.185185185185187,PR
23,3.6962025316455698,CP
