Site,m
BR,128.550993672729
CA,330.939857952713
CB,97.625291585414
CO,160.5431275778
CP,48.6691846838924
CR,91.210933489654
CZ,258.85067844186
FA,97.3850865498289
HG,198.681638361495
HV,242.717885930803
LG,98.0028958681173
MA,91.1539144960684
OB,106.568903662339
PR,48.6058495317073
PV,95.7139802636991
RI,172.799833987073
RO,57.4987889201405
SA,264.912764227876
UC,95.6706631586678
