Site,m
BR,42.1069873506064
CA,123.98476394459
CB,45.1445736783811
CO,47.8160833897215
CR,40.4377581092841
CZ,15.4759939792244
FA,44.7847345163052
HG,97.7154072370821
HV,41.9470424070364
LG,45.6119083366712
MA,27.2884885803581
OB,43.5316797567369
PV,40.8310971827421
RI,56.6667991514269
SA,38.6521670908148
