Site,m
AR,2003.27437990593
BR,2368.77073527774
CA,2744.25269495203
CB,1238.23727111687
CO,2463.90758543468
CP,490.226311916743
CR,1148.17848655385
CZ,2941.13491144751
FA,788.099023411884
FR,590.773400501095
GI,1043.11101028942
HG,1304.44403441336
HV,3526.38739233139
LG,867.891014432603
MA,407.86759607263
OB,1949.46319423945
PI,1601.30627797129
PR,1169.7770998293
PV,2949.30996488004
RI,944.150184971188
RO,705.748455768226
SA,3297.24177931078
UC,1840.41110826495
