Site,m
AR,105.080944414917
BR,308.339131468553
CA,504.374358211412
CB,148.437361769827
CO,324.027767066415
CP,104.954883027986
CR,148.606029198452
CZ,470.795728300837
FA,176.50316736331
FR,124.497704674885
GI,71.7895658590652
HG,299.093782556881
HV,380.574835352336
LG,156.036905202814
MA,144.037467978394
OB,266.194366713632
PR,170.732447744105
PV,344.261835438067
RI,281.39744362057
RO,125.613369622289
SA,657.953283622033
UC,253.428161047944
