Site,m
AR,253.448061098196
BR,584.954394608189
CA,814.788987215228
CB,297.040764812697
CO,788.320207742218
CP,217.778951568434
CR,232.150774951381
CZ,963.704735046559
FA,262.545075750089
FR,258.30245533766
GI,150.071963360479
HG,399.407297081975
HV,821.275797763282
LG,357.854642206466
MA,195.323051333448
OB,409.172109565809
PI,114.266851506636
PR,374.381816463704
PV,921.095457867739
RI,382.564669157952
RO,182.360768707164
SA,977.359058030709
UC,531.132569439359
