ID,m,v1$Site
1,5.5,RI
2,5.666666666666667,MA
3,6.287769784172662,FA
4,8.075,GI
5,4.583333333333333,FR
6,9.73404255319149,CB
7,18.904109589041095,PI
8,5.576470588235294,BR
9,6.782608695652174,AR
10,6.431372549019608,CR
11,8.085106382978724,HG
12,11.615384615384615,SA
13,10.092105263157896,PV
14,3.923076923076923,LG
15,10.926229508196721,CZ
16,8.513043478260869,HV
17,7.926315789473684,UC
18,9.358024691358025,CA
19,14.924242424242424,CO
20,12.544117647058824,RO
21,4.794871794871795,OB
22,4,PR
23,4.190476190476191,CP
