ID,m,v1$Site
1,4.333333333333333,RI
2,5.666666666666667,MA
3,6.240963855421687,FA
4,8.555555555555555,GI
5,4.6875,FR
6,8.850746268656716,CB
7,23.627906976744185,PI
8,5.724137931034483,BR
9,7.084507042253521,AR
10,6.746478873239437,CR
11,7.7727272727272725,HG
12,13.21951219512195,SA
13,9.044444444444444,PV
14,3.3333333333333335,LG
15,10.907894736842104,CZ
16,8.592105263157896,HV
17,8.619047619047619,UC
18,11.307692307692308,CA
19,12.918367346938776,CO
20,10.53448275862069,RO
21,3.76,OB
22,3.642857142857143,PR
23,4.571428571428571,CP
