CODPRO,PROVINCIA,CODCOM,COMUNE,PROCOM,SEZ2011,P1,P2,P3,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100,P101,P102,P103,IT1,IT2,IT3,IT4,IT5,IT6,IT7,IT8,IT9,IT10,IT11,IT12,ST1,ST2,ST2_B,ST3,ST4,ST5,ST16,ST17,ST18,ST19,ST20,ST21,ST22,ST23,ST24,ST25,ST26,ST27,ST28,ST29,ST30,ST31,ST32,ST33,PF1,PF3,PF4,PF5,PF6,PF7,PF8
55,Terni,32,Terni,55032,550320000525,574,267,307,24,19,34,33,21,20,24,39,40,48,45,26,31,25,31,114,8,14,13,18,8,6,9,18,16,26,25,13,18,11,16,48,16,5,21,15,13,14,15,21,24,22,20,13,13,14,15,66,537,250,287,25,97,168,195,52,10,31,93,101,15,15,66,75,94,37,180,104,76,53,250,166,19,124,73,34,126,93,147,84,63,105,51,54,44,52,9,41,18,23,64,33,31,24,77,4,16,33,2,8,44,2,33,20,13,264,94,83,44,37,3,3
55,Terni,32,Terni,55032,550320000526,257,116,141,6,7,7,7,6,7,8,19,10,13,23,14,17,35,25,53,3,6,4,4,3,4,3,10,4,4,11,6,7,13,14,20,3,1,3,3,3,3,5,9,6,9,12,8,10,22,11,33,245,108,137,8,42,69,99,27,1,13,32,52,10,7,29,37,47,17,76,36,40,18,107,112,12,49,47,6,58,65,67,31,36,20,8,12,4,14,2,13,4,9,7,4,3,2,17,1,1,7,0,1,10,1,9,5,4,134,51,53,20,10,0,0
55,Terni,32,Terni,55032,550320000527,433,222,211,12,8,17,23,19,20,22,27,34,28,32,36,26,31,30,68,9,4,10,14,13,11,15,14,17,13,14,17,15,14,13,29,3,4,7,9,6,9,7,13,17,15,18,19,11,17,17,39,414,209,205,7,66,131,158,52,2,22,77,88,20,5,44,54,70,32,165,100,65,33,218,121,21,116,53,12,102,68,137,80,57,61,32,29,20,27,14,25,10,15,36,22,14,4,49,8,2,27,3,2,22,5,28,20,8,207,80,66,38,15,3,5
55,Terni,32,Terni,55032,550320000528,92,43,49,4,2,2,3,6,1,5,2,2,6,7,12,7,12,9,12,4,1,1,1,4,0,1,1,1,1,4,5,2,6,4,7,0,1,1,2,2,1,4,1,1,5,3,7,5,6,5,5,86,38,48,0,9,31,42,4,0,2,15,20,1,0,7,16,22,3,30,16,14,8,51,33,6,20,17,2,31,16,30,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,10,21,8,4,0,0
55,Terni,32,Terni,55032,550320000529,97,50,47,5,6,5,2,7,2,11,10,7,9,9,7,1,7,2,7,3,3,2,1,4,1,5,6,6,3,5,4,1,2,1,3,2,3,3,1,3,1,6,4,1,6,4,3,0,5,1,4,86,44,42,0,8,26,39,13,0,4,10,24,6,0,4,16,15,7,44,25,19,13,55,16,6,29,6,7,26,10,38,20,18,13,9,4,6,7,0,12,8,4,1,1,0,3,10,0,2,7,0,1,3,0,6,5,1,40,10,11,12,6,1,0
55,Terni,32,Terni,55032,550320000530,14,9,5,0,0,1,0,1,2,0,0,0,1,2,1,2,0,1,3,0,0,1,0,1,2,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,14,9,5,0,2,4,8,0,0,1,3,5,0,0,1,1,3,0,7,4,3,1,9,4,1,6,2,0,3,2,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,2,1,1,0,0
55,Terni,32,Terni,55032,550320000532,76,40,36,5,1,5,0,6,7,8,5,5,5,1,10,5,6,1,6,4,0,3,0,2,4,6,3,1,3,1,5,3,3,0,2,1,1,2,0,4,3,2,2,4,2,0,5,2,3,1,4,70,36,34,2,15,18,26,9,1,5,11,16,3,1,10,7,10,6,26,14,12,4,36,13,2,18,5,2,18,8,22,12,10,23,15,8,15,8,0,0,0,0,23,15,8,7,16,0,5,10,0,2,6,0,4,2,2,33,12,15,4,1,1,0
55,Terni,32,Terni,55032,550320000534,16,7,9,0,3,0,1,0,1,1,0,1,4,1,1,0,0,0,3,0,1,0,1,0,0,0,0,0,3,0,1,0,0,0,1,0,2,0,0,0,1,1,0,1,1,1,0,0,0,0,2,13,6,7,1,2,2,7,1,0,1,2,3,0,1,1,0,4,1,4,2,2,2,8,3,1,5,1,1,3,2,3,2,1,3,0,3,1,2,0,3,0,3,0,0,0,1,2,0,0,0,0,1,2,0,1,0,1,8,3,2,3,0,0,0
55,Terni,32,Terni,55032,550320000536,21,9,12,1,3,1,0,0,0,0,1,1,1,2,2,2,0,1,6,0,2,1,0,0,0,0,0,1,0,1,1,2,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,5,17,7,10,2,7,6,2,0,1,2,3,1,0,1,5,3,1,0,8,4,4,5,9,7,3,5,1,2,4,6,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,2,1,1,1,0
55,Terni,32,Terni,55032,550320000538,20,9,11,1,0,0,0,0,1,3,0,1,2,2,1,1,4,1,3,0,0,0,0,0,1,1,0,0,2,1,1,0,1,1,1,1,0,0,0,0,0,2,0,1,0,1,0,1,3,0,2,19,9,10,2,2,5,6,4,1,1,3,2,2,1,1,2,4,2,8,5,3,1,11,8,0,6,3,1,5,5,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,1,3,0,0,0
