CODPRO,PROVINCIA,CODCOM,COMUNE,PROCOM,SEZ2011,P1,P2,P3,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100,P101,P102,P103,IT1,IT2,IT3,IT4,IT5,IT6,IT7,IT8,IT9,IT10,IT11,IT12,ST1,ST2,ST2_B,ST3,ST4,ST5,ST16,ST17,ST18,ST19,ST20,ST21,ST22,ST23,ST24,ST25,ST26,ST27,ST28,ST29,ST30,ST31,ST32,ST33,PF1,PF3,PF4,PF5,PF6,PF7,PF8
55,Terni,32,Terni,55032,550320000001,69,36,33,0,0,0,0,1,1,4,2,3,3,10,5,16,9,3,12,0,0,0,0,0,0,3,1,2,2,7,4,10,5,0,2,0,0,0,0,1,1,1,1,1,1,3,1,6,4,3,10,69,36,33,0,18,18,24,9,0,8,12,11,5,0,10,6,13,4,14,8,6,0,41,24,0,28,7,0,13,17,13,7,6,4,1,3,0,3,1,1,0,1,3,1,2,0,4,0,0,1,0,0,3,0,1,1,0,65,61,4,0,0,0,0
55,Terni,32,Terni,55032,550320000002,75,33,42,0,2,3,3,1,4,5,3,5,4,7,8,6,12,4,8,0,1,1,2,0,2,4,1,0,2,3,3,3,4,4,3,0,1,2,1,1,2,1,2,5,2,4,5,3,8,0,5,74,33,41,2,5,8,30,29,2,1,2,9,19,0,4,6,21,10,32,15,17,5,44,24,2,20,11,3,24,13,30,15,15,2,0,2,0,2,0,1,0,1,1,0,1,0,2,0,0,0,0,0,2,0,2,0,2,40,17,14,6,3,0,0
55,Terni,32,Terni,55032,550320000003,66,28,38,4,1,2,7,2,2,2,7,6,3,3,7,3,3,2,12,3,0,2,6,1,0,0,2,3,0,2,3,2,1,1,2,1,1,0,1,1,2,2,5,3,3,1,4,1,2,1,10,61,25,36,1,2,20,19,19,1,2,10,6,6,0,0,10,13,13,28,12,16,7,31,17,5,14,4,2,17,13,22,11,11,11,5,6,5,4,2,1,0,1,10,5,5,0,11,0,0,5,0,0,6,0,6,1,5,34,13,12,7,2,0,0
55,Terni,32,Terni,55032,550320000004,93,39,54,3,2,6,8,3,3,3,4,4,11,9,10,5,7,0,15,2,1,3,7,2,1,1,2,2,4,2,3,2,3,0,4,1,1,3,1,1,2,2,2,2,7,7,7,3,4,0,11,88,36,52,3,10,18,33,24,1,4,12,15,4,2,6,6,18,20,40,15,25,10,54,22,5,24,7,5,30,15,36,13,23,7,3,4,1,5,1,1,0,1,6,3,3,1,6,0,1,2,0,0,4,0,4,2,2,50,23,15,8,4,0,0
55,Terni,32,Terni,55032,550320000005,93,48,45,2,3,6,5,6,5,5,5,3,11,9,11,5,4,2,11,2,2,4,4,4,2,2,3,2,5,3,6,2,1,2,4,0,1,2,1,2,3,3,2,1,6,6,5,3,3,0,7,89,45,44,6,10,14,30,29,3,5,10,17,10,3,5,4,13,19,42,23,19,10,55,14,7,25,5,3,30,9,34,16,18,14,11,3,4,7,3,3,2,1,11,9,2,1,10,3,1,8,2,0,2,1,8,7,1,52,28,11,9,4,0,0
55,Terni,32,Terni,55032,550320000006,28,12,16,0,0,2,2,3,3,0,0,1,4,1,4,3,2,2,1,0,0,1,1,1,0,0,0,1,1,1,2,1,1,1,1,0,0,1,1,2,3,0,0,0,3,0,2,2,1,1,0,28,12,16,1,1,4,11,11,0,1,2,5,4,1,0,2,6,7,11,6,5,2,21,5,1,8,3,1,13,2,11,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,3,2,3,0,0
55,Terni,32,Terni,55032,550320000007,13,7,6,1,0,2,0,2,0,0,0,2,2,0,3,0,0,0,1,1,0,1,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,0,1,12,6,6,0,3,4,2,3,0,2,2,0,2,0,1,2,2,1,7,4,3,2,6,1,1,4,0,1,2,1,5,3,2,4,2,2,1,2,1,0,0,0,4,2,2,1,3,0,1,1,0,0,2,0,2,1,1,6,4,0,0,1,1,0
55,Terni,32,Terni,55032,550320000008,6,3,3,0,0,0,0,0,1,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,6,3,3,0,0,0,2,4,0,0,0,2,1,0,0,0,0,3,4,2,2,0,3,1,0,2,0,0,1,1,3,2,1,2,1,1,1,0,1,1,1,0,1,0,1,0,2,0,0,1,0,0,1,0,1,0,1,5,4,1,0,0,0,0
55,Terni,32,Terni,55032,550320000009,67,29,38,1,4,7,7,6,3,5,6,4,4,3,10,4,1,1,1,1,1,2,6,2,3,3,2,1,0,1,4,1,0,1,1,0,3,5,1,4,0,2,4,3,4,2,6,3,1,0,0,63,27,36,2,7,15,24,15,0,4,11,5,7,2,3,4,19,8,25,9,16,9,38,3,3,16,2,6,22,1,20,5,15,17,8,9,8,7,2,2,0,2,15,8,7,3,14,0,1,7,0,2,7,0,5,4,1,33,15,8,5,4,1,0
55,Terni,32,Terni,55032,550320000010,53,25,28,3,1,3,5,0,0,2,2,3,6,3,5,5,5,3,7,2,0,1,4,0,0,1,0,0,1,2,4,3,2,2,3,1,1,2,1,0,0,1,2,3,5,1,1,2,3,1,4,49,23,26,0,3,16,14,16,0,1,8,9,5,0,2,8,5,11,19,9,10,7,27,15,3,13,7,4,14,8,18,9,9,4,2,2,2,1,1,3,2,1,1,0,1,0,4,0,0,2,0,0,2,0,1,0,1,32,18,8,5,1,0,0
55,Terni,32,Terni,55032,550320000012,95,41,54,2,4,4,6,5,4,5,6,4,4,7,11,9,2,7,15,1,4,2,2,4,2,2,4,1,1,3,3,3,0,3,6,1,0,2,4,1,2,3,2,3,3,4,8,6,2,4,9,90,37,53,3,4,18,41,24,1,1,7,18,10,2,3,11,23,14,37,17,20,6,46,24,4,19,9,2,27,15,30,14,16,19,9,10,7,9,3,1,1,0,18,8,10,4,15,0,3,6,0,1,9,0,7,3,4,52,27,14,6,3,2,0
55,Terni,32,Terni,55032,550320000013,54,20,34,4,3,1,1,2,4,5,2,4,3,1,6,3,2,5,8,0,1,0,0,2,2,3,1,1,1,0,4,1,1,0,3,4,2,1,1,0,2,2,1,3,2,1,2,2,1,5,5,47,19,28,3,10,7,18,9,2,3,2,7,5,1,7,5,11,4,15,9,6,3,16,14,0,7,4,3,9,10,9,4,5,21,9,12,9,7,5,2,0,2,19,9,10,5,15,1,1,8,0,4,7,1,6,5,1,31,17,9,3,1,0,1
55,Terni,32,Terni,55032,550320000015,93,41,52,4,1,3,2,4,4,2,6,2,10,8,7,12,6,8,14,2,1,3,0,4,1,1,1,1,4,3,3,6,2,5,4,2,0,0,2,0,3,1,5,1,6,5,4,6,4,3,10,88,38,50,1,3,11,30,43,0,1,6,15,16,1,2,5,15,27,44,19,25,4,48,26,3,19,9,1,29,17,37,15,22,15,10,5,5,7,3,3,2,1,12,8,4,4,9,2,3,5,2,1,4,0,7,4,3,50,28,10,6,4,1,1
55,Terni,32,Terni,55032,550320000016,103,44,59,3,4,7,7,6,1,5,6,10,10,8,12,5,2,4,13,1,2,4,2,3,1,3,0,5,4,5,5,1,0,2,6,2,2,3,5,3,0,2,6,5,6,3,7,4,2,2,7,96,41,55,0,10,23,35,28,0,4,8,19,10,0,6,15,16,18,46,20,26,11,48,19,5,21,8,6,27,11,38,18,20,25,10,15,9,11,5,3,0,3,22,10,12,3,22,0,2,8,0,1,14,0,8,2,6,54,27,13,8,5,0,1
55,Terni,32,Terni,55032,550320000017,180,83,97,7,11,10,9,8,8,12,6,10,20,18,15,8,6,6,26,4,5,2,5,3,4,5,6,5,9,8,7,3,4,2,11,3,6,8,4,5,4,7,0,5,11,10,8,5,2,4,15,163,75,88,5,23,35,69,31,2,9,15,28,21,3,14,20,41,10,61,31,30,22,69,36,9,36,17,13,33,19,44,24,20,53,21,32,19,23,11,11,1,10,42,20,22,6,45,2,2,19,0,4,26,2,17,7,10,85,39,17,15,10,2,2
55,Terni,32,Terni,55032,550320000018,102,42,60,4,2,1,6,6,5,3,5,9,10,11,11,4,3,4,18,1,1,1,0,4,1,1,2,6,4,4,4,1,3,1,8,3,1,0,6,2,4,2,3,3,6,7,7,3,0,3,10,97,40,57,3,7,26,41,20,0,3,13,19,5,3,4,13,22,15,46,23,23,5,38,25,2,15,12,3,23,13,26,13,13,34,13,21,12,19,3,9,3,6,25,10,15,2,32,0,1,12,0,1,20,0,20,10,10,58,29,19,6,3,1,0
55,Terni,32,Terni,55032,550320000019,32,17,15,2,1,1,4,0,0,1,1,1,5,3,2,2,3,4,2,1,0,0,2,0,0,1,0,0,3,2,1,2,2,2,1,1,1,1,2,0,0,0,1,1,2,1,1,0,1,2,1,29,16,13,0,2,4,10,13,0,1,1,7,7,0,1,3,3,6,15,9,6,4,19,9,1,11,5,3,8,4,15,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,2,5,2,0,0
55,Terni,32,Terni,55032,550320000020,20,7,13,1,2,0,0,0,2,1,1,3,2,0,2,1,1,1,3,0,1,0,0,0,0,0,1,2,1,0,1,0,0,0,1,1,1,0,0,0,2,1,0,1,1,0,1,1,1,1,2,17,6,11,0,2,3,8,4,0,1,1,2,2,0,1,2,6,2,8,4,4,2,11,5,1,5,1,1,6,4,8,4,4,2,0,2,2,0,0,0,0,0,2,0,2,1,1,0,0,0,0,1,1,0,0,0,0,10,4,3,2,1,0,0
55,Terni,32,Terni,55032,550320000021,50,23,27,4,0,2,2,3,1,3,4,1,4,5,8,2,0,2,9,4,0,1,0,2,1,1,4,0,1,3,3,1,0,1,1,0,0,1,2,1,0,2,0,1,3,2,5,1,0,1,8,46,19,27,1,2,8,25,10,0,0,2,13,4,1,2,6,12,6,23,13,10,5,27,11,4,13,2,1,14,9,20,11,9,7,4,3,1,4,2,0,0,0,7,4,3,1,6,0,1,3,0,0,3,0,3,2,1,26,13,7,2,3,1,0
55,Terni,32,Terni,55032,550320000022,123,57,66,6,4,2,5,10,5,7,8,10,8,8,8,14,6,4,18,3,2,1,4,5,4,4,4,4,5,3,2,7,2,1,6,3,2,1,1,5,1,3,4,6,3,5,6,7,4,3,12,113,52,61,0,11,27,40,35,0,4,16,14,18,0,7,11,26,17,49,28,21,9,59,24,4,29,9,5,30,15,36,21,15,31,15,16,11,9,11,4,2,2,27,13,14,3,24,4,2,13,0,1,11,4,13,7,6,62,34,10,9,7,1,1
55,Terni,32,Terni,55032,550320000023,176,85,91,14,9,3,9,6,19,13,10,8,7,15,15,11,3,9,25,8,3,1,6,3,6,11,7,4,5,5,7,5,1,4,9,6,6,2,3,3,13,2,3,4,2,10,8,6,2,5,16,154,75,79,1,11,35,61,46,1,4,20,25,25,0,7,15,36,21,74,41,33,14,75,36,6,40,14,8,35,22,49,28,21,51,25,26,25,18,8,9,1,8,42,24,18,12,38,1,6,19,0,6,19,1,25,13,12,83,37,22,10,9,2,3
55,Terni,32,Terni,55032,550320000024,47,20,27,2,4,3,0,2,0,3,0,6,4,4,1,2,0,1,15,2,1,1,0,0,0,1,0,5,2,1,1,1,0,0,5,0,3,2,0,2,0,2,0,1,2,3,0,1,0,1,10,42,17,25,1,5,5,10,21,0,1,2,5,9,1,4,3,5,12,18,11,7,6,19,16,3,10,5,3,9,11,16,10,6,6,2,4,3,3,0,1,0,1,5,2,3,3,3,0,1,1,0,2,2,0,2,1,1,24,11,6,5,1,1,0
55,Terni,32,Terni,55032,550320000026,4,2,2,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,2,2,0,0,1,3,0,0,0,1,1,0,0,0,0,2,0,3,1,2,0,4,0,0,2,0,0,2,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
55,Terni,32,Terni,55032,550320000027,12,6,6,2,0,0,3,0,0,1,1,0,1,2,0,0,0,0,2,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,10,5,5,0,1,5,2,2,0,0,3,1,1,0,1,2,1,1,4,2,2,2,8,0,1,4,0,1,4,0,4,2,2,2,1,1,0,0,2,0,0,0,2,1,1,0,0,2,0,0,1,0,0,1,0,0,0,4,0,2,0,2,0,0
55,Terni,32,Terni,55032,550320000028,78,38,40,0,5,4,4,6,7,5,6,3,3,10,6,4,5,5,5,0,4,3,1,3,4,4,3,0,1,3,4,1,3,3,1,0,1,1,3,3,3,1,3,3,2,7,2,3,2,2,4,73,34,39,1,3,11,34,24,1,2,6,15,10,0,1,5,19,14,38,19,19,8,42,15,6,16,7,2,26,8,28,11,17,13,9,4,3,9,1,1,0,1,12,9,3,1,12,0,1,8,0,0,4,0,10,8,2,34,10,12,6,4,2,0
55,Terni,32,Terni,55032,550320000029,127,58,69,3,9,6,6,2,2,3,12,13,6,9,11,8,10,6,21,1,6,3,5,1,0,2,4,6,4,3,5,3,3,5,7,2,3,3,1,1,2,1,8,7,2,6,6,5,7,1,14,117,53,64,8,13,20,45,31,3,7,11,19,13,5,6,9,26,18,40,20,20,12,51,37,7,24,15,5,27,22,30,13,17,27,12,15,9,13,5,9,5,4,18,7,11,6,21,0,3,9,0,3,12,0,10,7,3,64,27,21,8,6,2,0
55,Terni,32,Terni,55032,550320000030,58,25,33,1,2,2,4,1,2,2,2,4,4,4,7,7,3,3,10,1,1,2,3,1,0,1,1,1,1,0,4,3,0,2,4,0,1,0,1,0,2,1,1,3,3,4,3,4,3,1,6,55,23,32,1,3,8,21,22,0,2,5,10,6,1,1,3,11,16,24,10,14,5,36,16,4,15,6,1,21,10,23,10,13,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,31,14,10,4,3,0,0
55,Terni,32,Terni,55032,550320000031,19,10,9,0,0,1,0,3,0,0,0,0,0,1,2,7,2,0,3,0,0,0,0,2,0,0,0,0,0,0,1,3,2,0,2,0,0,1,0,1,0,0,0,0,0,1,1,4,0,0,1,19,10,9,0,0,5,7,7,0,0,2,5,3,0,0,3,2,4,4,0,4,1,12,5,0,6,4,1,6,1,3,0,3,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,8,1,5,1,0,1,0
55,Terni,32,Terni,55032,550320000032,80,41,39,2,4,5,5,1,4,6,4,4,8,10,6,4,0,2,15,1,1,2,3,1,4,4,2,2,1,6,5,3,0,1,5,1,3,3,2,0,0,2,2,2,7,4,1,1,0,1,10,74,39,35,4,8,15,32,15,2,2,10,17,8,2,6,5,15,7,34,21,13,10,45,17,4,25,6,6,20,11,29,17,12,8,6,2,3,4,1,5,3,2,3,3,0,1,7,0,0,6,0,1,1,0,5,4,1,48,27,12,7,2,0,0
55,Terni,32,Terni,55032,550320000033,245,115,130,3,8,13,10,11,5,15,9,18,16,28,17,10,17,20,45,1,6,6,7,9,2,5,2,10,10,13,10,2,5,12,15,2,2,7,3,2,3,10,7,8,6,15,7,8,12,8,30,234,108,126,8,17,57,96,56,4,6,20,55,23,4,11,37,41,33,83,44,39,16,106,80,9,55,31,7,51,49,64,34,30,43,20,23,17,21,5,7,1,6,36,19,17,8,33,2,4,15,1,4,18,1,19,10,9,119,51,35,20,11,0,2
55,Terni,32,Terni,55032,550320000034,18,7,11,0,0,1,2,2,0,1,0,0,1,2,2,1,1,4,1,0,0,0,0,1,0,1,0,0,0,1,2,0,0,1,1,0,0,1,2,1,0,0,0,0,1,1,0,1,1,3,0,18,7,11,1,1,2,8,6,0,0,0,3,4,1,1,2,5,2,6,4,2,1,11,6,0,5,2,1,6,4,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,2,1,2,0,0
55,Terni,32,Terni,55032,550320000035,86,37,49,3,2,4,4,4,4,4,6,2,10,4,8,5,3,3,20,2,1,0,1,3,2,1,3,1,4,2,3,1,2,2,9,1,1,4,3,1,2,3,3,1,6,2,5,4,1,1,11,81,34,47,0,9,20,27,25,0,2,6,14,12,0,7,14,13,13,28,14,14,9,47,26,3,21,13,6,26,13,27,14,13,4,0,4,1,2,1,2,0,2,2,0,2,0,4,0,0,0,0,0,4,0,1,0,1,45,20,17,3,4,0,1
55,Terni,32,Terni,55032,550320000036,83,37,46,0,2,2,4,5,4,4,5,8,8,9,6,1,9,5,11,0,2,0,2,4,2,1,2,4,6,4,2,0,3,1,4,0,0,2,2,1,2,3,3,4,2,5,4,1,6,4,7,81,35,46,1,4,23,33,20,1,2,8,13,11,0,2,15,20,9,35,14,21,1,29,18,1,14,5,0,15,13,19,8,11,35,17,18,8,16,11,4,1,3,31,16,15,3,25,7,1,13,3,2,12,4,16,6,10,47,24,15,4,3,1,0
55,Terni,32,Terni,55032,550320000037,40,19,21,6,3,1,1,0,3,3,6,5,2,3,1,1,0,0,5,3,1,1,0,0,1,1,3,4,1,2,0,1,0,0,1,3,2,0,1,0,2,2,3,1,1,1,1,0,0,0,4,31,15,16,3,4,10,9,5,2,1,3,6,3,1,3,7,3,2,16,10,6,4,10,5,3,6,1,1,4,4,8,5,3,21,9,12,9,11,1,2,0,2,19,9,10,6,15,0,2,7,0,4,8,0,8,5,3,18,9,1,4,3,1,0
55,Terni,32,Terni,55032,550320000038,29,18,11,1,0,1,1,2,3,1,4,2,1,3,7,1,0,0,2,0,0,1,1,1,3,1,2,1,1,1,4,1,0,0,1,1,0,0,0,1,0,0,2,1,0,2,3,0,0,0,1,28,18,10,0,4,7,13,4,0,2,5,9,2,0,2,2,4,2,12,9,3,1,13,2,1,8,1,0,5,1,8,5,3,13,8,5,3,8,2,0,0,0,13,8,5,1,12,0,0,8,0,1,4,0,4,4,0,15,6,6,2,0,1,0
55,Terni,32,Terni,55032,550320000039,20,10,10,0,0,1,1,1,1,3,1,2,1,1,1,2,3,1,1,0,0,1,0,1,0,3,0,0,1,0,0,2,1,1,0,0,0,0,1,0,1,0,1,2,0,1,1,0,2,0,1,20,10,10,1,0,3,10,6,1,0,1,6,2,0,0,2,4,4,8,4,4,1,11,5,1,6,2,0,5,3,7,4,3,3,1,2,1,1,1,2,0,2,1,1,0,0,3,0,0,1,0,0,2,0,1,0,1,12,6,4,2,0,0,0
55,Terni,32,Terni,55032,550320000040,186,92,94,9,11,4,6,9,12,12,12,16,8,14,13,13,16,7,24,4,8,3,2,5,6,6,7,8,3,9,6,7,8,3,7,5,3,1,4,4,6,6,5,8,5,5,7,6,8,4,17,170,83,87,9,19,29,67,46,4,8,15,32,24,5,11,14,35,22,79,44,35,10,73,45,7,44,18,3,29,27,52,34,18,58,23,35,24,25,9,19,5,14,39,18,21,14,42,2,8,15,0,6,27,2,27,10,17,92,42,26,12,8,2,2
55,Terni,32,Terni,55032,550320000041,71,37,34,4,5,2,0,5,4,6,7,6,6,1,5,9,4,1,6,3,2,0,0,4,2,4,4,4,4,0,4,2,2,1,1,1,3,2,0,1,2,2,3,2,2,1,1,7,2,0,5,62,32,30,1,6,10,19,26,0,3,6,13,10,1,3,4,6,16,30,18,12,3,27,11,2,12,4,1,15,7,19,9,10,30,19,11,11,17,2,0,0,0,30,19,11,8,22,0,3,16,0,5,6,0,11,9,2,39,24,7,3,3,2,0
55,Terni,32,Terni,55032,550320000042,58,24,34,1,3,7,4,3,3,6,4,9,5,1,2,2,2,2,4,0,0,2,2,1,3,3,0,3,4,1,1,1,1,0,2,1,3,5,2,2,0,3,4,6,1,0,1,1,1,2,2,54,24,30,1,6,13,20,14,1,1,6,12,4,0,5,7,8,10,25,13,12,8,33,7,1,16,3,7,17,4,22,11,11,10,4,6,4,5,1,3,1,2,7,3,4,3,6,1,1,3,0,2,3,1,3,2,1,26,11,5,4,5,1,0
55,Terni,32,Terni,55032,550320000043,70,30,40,4,4,1,4,4,2,1,4,8,12,7,7,3,0,2,7,2,2,0,4,2,0,0,1,3,5,3,3,1,0,1,3,2,2,1,0,2,2,1,3,5,7,4,4,2,0,1,4,64,27,37,5,5,14,29,11,3,2,7,11,4,2,3,7,18,7,31,14,17,5,25,8,2,10,4,3,15,4,17,7,10,32,14,18,9,19,4,5,1,4,27,13,14,4,27,1,2,12,0,2,15,1,14,7,7,35,18,7,3,6,1,0
55,Terni,32,Terni,55032,550320000044,73,37,36,3,2,5,4,0,1,5,6,5,4,6,4,4,4,5,15,3,1,3,2,0,0,2,2,4,3,2,1,3,2,3,6,0,1,2,2,0,1,3,4,1,1,4,3,1,2,2,9,68,33,35,2,10,17,18,21,1,5,7,11,9,1,5,10,7,12,27,14,13,8,33,23,5,17,11,3,16,12,24,13,11,9,4,5,2,4,3,3,0,3,6,4,2,2,6,1,2,2,0,0,4,1,3,1,2,35,16,10,3,4,1,1
55,Terni,32,Terni,55032,550320000045,111,58,53,5,3,3,1,6,12,8,5,7,8,8,7,17,5,6,10,2,2,2,1,3,6,5,4,3,4,5,1,9,3,3,5,3,1,1,0,3,6,3,1,4,4,3,6,8,2,3,5,103,54,49,1,16,24,41,21,1,6,11,26,10,0,10,13,15,11,44,26,18,6,44,20,3,26,10,3,18,10,28,17,11,41,19,22,16,17,8,18,7,11,23,12,11,5,35,1,3,15,1,2,20,0,16,9,7,72,46,18,4,3,1,0
55,Terni,32,Terni,55032,550320000046,106,57,49,5,3,3,8,5,8,7,8,6,9,10,6,7,8,5,8,4,2,3,3,2,5,4,4,4,5,5,3,1,6,2,4,1,1,0,5,3,3,3,4,2,4,5,3,6,2,3,4,100,53,47,5,12,25,46,12,2,9,16,23,3,3,3,9,23,9,35,21,14,10,51,20,8,25,12,2,26,8,25,14,11,25,12,13,5,17,3,10,4,6,15,8,7,1,23,1,1,11,0,0,12,1,10,7,3,50,21,12,10,5,1,1
55,Terni,32,Terni,55032,550320000047,114,54,60,14,4,4,4,8,7,8,8,6,9,9,5,4,4,6,14,8,2,1,2,6,3,4,5,3,3,6,1,1,2,1,6,6,2,3,2,2,4,4,3,3,6,3,4,3,2,5,8,98,45,53,2,10,30,43,13,1,1,15,22,6,1,9,15,21,7,42,25,17,2,24,20,2,14,8,0,10,12,15,9,6,68,30,38,32,28,8,3,1,2,65,29,36,20,44,4,9,20,1,11,24,3,27,16,11,53,25,12,8,3,2,3
55,Terni,32,Terni,55032,550320000048,110,53,57,3,7,2,2,3,2,6,13,10,10,8,8,4,2,9,21,3,4,0,1,3,0,2,8,3,7,5,3,1,0,4,9,0,3,2,1,0,2,4,5,7,3,3,5,3,2,5,12,101,46,55,6,14,24,44,13,1,4,10,24,7,5,10,14,20,6,39,20,19,6,32,32,3,18,13,3,14,19,23,12,11,40,19,21,10,25,5,14,4,10,26,15,11,6,34,0,4,15,0,2,19,0,16,8,8,62,33,18,4,6,1,0
55,Terni,32,Terni,55032,550320000049,18,11,7,0,1,1,0,0,0,2,1,3,3,2,0,1,1,0,3,0,0,1,0,0,0,1,1,3,2,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,2,17,11,6,1,4,3,9,0,0,3,1,7,0,1,1,2,2,0,5,4,1,0,5,4,0,5,1,0,0,3,4,4,0,9,5,4,2,7,0,1,0,1,8,5,3,2,7,0,1,4,0,1,3,0,1,0,1,12,9,1,1,1,0,0
55,Terni,32,Terni,55032,550320000050,42,19,23,1,1,2,1,1,0,6,2,2,3,9,3,2,2,2,5,1,0,0,1,1,0,3,1,1,2,4,1,0,2,1,1,0,1,2,0,0,0,3,1,1,1,5,2,2,0,1,4,40,18,22,0,5,9,18,8,0,0,7,7,4,0,5,2,11,4,15,8,7,4,19,8,1,11,3,3,8,5,10,7,3,11,4,7,0,7,4,6,1,5,5,3,2,0,10,1,0,3,1,0,7,0,5,1,4,24,13,6,3,2,0,0
55,Terni,32,Terni,55032,550320000051,169,92,77,6,5,8,10,4,8,12,9,10,21,20,12,4,7,6,27,6,5,4,4,2,3,8,4,4,13,14,5,4,1,1,14,0,0,4,6,2,5,4,5,6,8,6,7,0,6,5,13,159,82,77,8,22,47,50,32,3,9,26,28,16,5,13,21,22,16,58,40,18,7,64,39,7,42,16,0,22,23,37,29,8,59,27,32,25,30,4,16,5,11,43,22,21,12,46,1,8,19,0,4,27,1,21,11,10,82,34,25,12,6,5,0
55,Terni,32,Terni,55032,550320000052,64,31,33,3,5,3,0,1,5,4,7,4,1,4,6,5,4,4,8,2,4,2,0,0,3,2,4,1,0,1,2,4,2,2,2,1,1,1,0,1,2,2,3,3,1,3,4,1,2,2,6,56,25,31,1,6,6,28,15,0,3,2,15,5,1,3,4,13,10,23,12,11,10,25,15,8,11,6,2,14,9,18,9,9,14,6,8,4,6,4,1,0,1,13,6,7,1,12,1,0,6,0,1,6,1,5,3,2,34,18,9,0,7,0,0
55,Terni,32,Terni,55032,550320000053,71,33,38,3,1,2,5,1,5,1,3,5,8,6,7,10,0,6,8,2,1,1,2,1,3,1,1,1,5,2,3,3,0,3,4,1,0,1,3,0,2,0,2,4,3,4,4,7,0,3,4,67,30,37,1,1,16,35,14,1,0,7,13,9,0,1,9,22,5,29,10,19,4,42,14,2,18,7,2,24,7,22,7,15,11,6,5,2,8,1,5,2,3,6,4,2,2,9,0,2,4,0,0,5,0,7,3,4,38,20,8,7,2,0,1
55,Terni,32,Terni,55032,550320000054,135,60,75,5,5,7,5,5,4,9,6,11,17,15,8,7,9,7,15,1,2,3,3,4,2,3,3,3,10,7,5,2,2,1,9,4,3,4,2,1,2,6,3,8,7,8,3,5,7,6,6,125,57,68,3,11,38,47,26,0,5,18,26,8,3,6,20,21,18,48,25,23,12,64,30,6,33,12,6,31,18,38,19,19,29,9,20,11,13,5,14,2,12,15,7,8,5,23,1,0,9,0,5,14,1,10,6,4,69,33,17,11,5,3,0
55,Terni,32,Terni,55032,550320000055,67,30,37,2,3,3,4,1,2,0,4,7,6,5,2,6,5,4,13,1,1,3,1,0,2,0,2,3,2,3,1,2,4,2,3,1,2,0,3,1,0,0,2,4,4,2,1,4,1,2,10,63,28,35,2,5,8,28,20,1,3,2,14,8,1,2,6,14,12,23,12,11,4,29,22,2,14,9,2,15,13,19,11,8,12,5,7,6,6,0,1,0,1,11,5,6,4,8,0,3,2,0,1,6,0,4,1,3,35,17,11,3,3,0,1
55,Terni,32,Terni,55032,550320000056,159,74,85,2,5,12,11,6,4,5,6,9,18,16,21,14,6,7,17,2,2,6,9,2,1,3,3,5,8,6,9,6,3,4,5,0,3,6,2,4,3,2,3,4,10,10,12,8,3,3,12,153,70,83,4,15,25,58,51,0,6,14,27,23,4,9,11,31,28,75,39,36,13,93,30,6,46,12,7,47,18,67,35,32,23,10,13,9,11,3,11,6,5,12,4,8,6,17,0,4,6,0,2,11,0,8,4,4,70,26,18,12,10,3,1
55,Terni,32,Terni,55032,550320000057,154,76,78,5,8,7,8,6,5,15,10,6,17,19,13,6,6,4,19,2,6,7,3,3,2,9,5,3,10,8,6,2,0,2,8,3,2,0,5,3,3,6,5,3,7,11,7,4,6,2,11,143,70,73,5,15,39,49,35,3,11,18,23,15,2,4,21,26,20,57,36,21,13,78,27,10,42,10,3,36,17,47,32,15,36,14,22,12,19,5,11,4,7,25,10,15,7,27,2,5,9,0,2,18,2,10,4,6,79,38,23,7,7,3,1
