25,50,75,100,200,site,var
NA,NA,NA,NA,NA,RI,11100
NA,NA,NA,491.225289055612,5270.91973372176,MA,11100
NA,679.387778513745,2532.63600403443,5380.25041812938,24931.8803820563,FA,11100
NA,NA,NA,NA,NA,GI,11100
NA,NA,NA,NA,NA,FR,11100
NA,NA,NA,NA,NA,CB,11100
NA,NA,NA,NA,NA,PI,11100
NA,2085.62616652669,7196.35402333767,14054.307126858,59038.3784003475,BR,11100
NA,NA,NA,NA,NA,AR,11100
NA,NA,NA,NA,NA,CR,11100
NA,NA,NA,NA,NA,HG,11100
NA,NA,NA,NA,NA,SA,11100
75.1711179763079,2066.73865429894,6004.602832529,10762.0865420019,58976.7722499357,PV,11100
NA,NA,NA,NA,NA,LG,11100
NA,NA,NA,NA,NA,CZ,11100
NA,NA,NA,NA,NA,HV,11100
NA,NA,NA,NA,NA,UC,11100
NA,NA,NA,NA,NA,CA,11100
NA,NA,NA,1196.33115470203,26110.4152653551,CO,11100
NA,NA,NA,NA,NA,RO,11100
NA,NA,NA,NA,NA,OB,11100
NA,NA,NA,NA,NA,PR,11100
NA,71.938571000006,2532.75145439064,6723.56778921874,26765.1372497369,CP,11100
NA,NA,1086.32799971849,4698.58132426348,18436.8486865989,RI,11210
NA,NA,NA,29.806030222564,23403.9066808225,MA,11210
0.439934809226543,1145.53065635788,3877.2308282142,7691.02615398518,40342.5112222468,FA,11210
NA,NA,NA,NA,NA,GI,11210
NA,NA,NA,984.023249732272,19994.211190372695,FR,11210
NA,NA,NA,NA,NA,CB,11210
NA,NA,NA,NA,2028.88924124348,PI,11210
1891.55484711751,3681.2576600723,4785.6666065231,5335.62067324575,14259.610457343,BR,11210
NA,NA,NA,NA,NA,AR,11210
NA,NA,NA,NA,NA,CR,11210
NA,NA,NA,NA,NA,HG,11210
NA,NA,NA,NA,NA,SA,11210
1558.98212183081,4296.73172612395,9026.8772096755,14861.2474164627,39278.415201063,PV,11210
NA,NA,NA,NA,NA,LG,11210
NA,NA,NA,NA,NA,CZ,11210
NA,NA,NA,NA,2980.57635293389,HV,11210
NA,NA,NA,NA,NA,UC,11210
NA,NA,NA,NA,8831.38445067406,CA,11210
187.462351413444,2218.2313079061,5981.47305012587,11116.3525108383,49603.1971710538,CO,11210
NA,NA,NA,NA,NA,RO,11210
NA,NA,NA,NA,NA,OB,11210
NA,NA,NA,NA,6499.2816283484,PR,11210
1825.03898139228,5824.60166948738,10891.1268813387,17379.7957451637,71031.0065732594,CP,11210
NA,NA,NA,NA,NA,RI,11220
207.370417776518,2316.07049574703,6667.4041888183,14078.9609174771,58620.0116731748,MA,11220
NA,NA,NA,NA,NA,FA,11220
NA,NA,NA,NA,NA,GI,11220
NA,NA,NA,NA,NA,FR,11220
NA,NA,NA,NA,NA,CB,11220
NA,NA,NA,NA,NA,PI,11220
NA,NA,NA,NA,NA,BR,11220
NA,NA,NA,NA,NA,AR,11220
NA,NA,NA,NA,NA,CR,11220
NA,NA,NA,NA,NA,HG,11220
NA,NA,NA,NA,NA,SA,11220
NA,NA,NA,434.864047333598,3627.2024631009,PV,11220
NA,NA,NA,NA,NA,LG,11220
NA,NA,NA,NA,NA,CZ,11220
1388.25644769147,3623.59073895868,8803.17391011864,18155.6424353346,68091.9085189334,HV,11220
NA,NA,NA,NA,15639.5647048289,UC,11220
676.101371956524,3014.33073457121,6372.22699302039,8637.82756672031,18656.4118949545,CA,11220
1528.79599078512,5049.06905615889,9255.85317693464,11929.2403277163,26863.3524508057,CO,11220
NA,NA,NA,NA,NA,RO,11220
NA,NA,NA,NA,5215.92954247911,OB,11220
1538.6666664565,4620.38470592047,9096.96567625925,16913.5459373321,57878.2001585504,PR,11220
NA,NA,NA,NA,20.4100982923992,CP,11220
NA,NA,NA,NA,14377.4358919905,RI,11230
NA,NA,574.069249786087,1620.02679261402,2861.68892359314,MA,11230
NA,NA,NA,NA,NA,FA,11230
NA,NA,NA,NA,NA,GI,11230
NA,NA,NA,NA,5595.99452670943,FR,11230
NA,NA,NA,NA,NA,CB,11230
NA,NA,NA,NA,NA,PI,11230
NA,NA,NA,NA,NA,BR,11230
NA,NA,NA,NA,NA,AR,11230
787.46879538038,3124.66260164371,6613.95815987699,7109.10122120194,7109.10122120194,CR,11230
NA,NA,NA,NA,NA,HG,11230
NA,NA,NA,NA,NA,SA,11230
NA,NA,NA,NA,NA,PV,11230
NA,NA,NA,1372.3221704904,24184.528807915,LG,11230
NA,NA,NA,NA,NA,CZ,11230
NA,NA,NA,NA,NA,HV,11230
1960.7026386098,7842.81055439683,15226.2821144476,23194.891349107,49809.2455056383,UC,11230
NA,NA,53.3245806611958,1709.82719823098,14374.7509278858,CA,11230
NA,NA,NA,NA,NA,CO,11230
NA,69.6332523573656,1070.50766570307,1972.0389224646501,8118.50846358899,RO,11230
NA,NA,NA,NA,219.764305841178,OB,11230
NA,0.141666518640704,1269.51116013993,2647.84895831812,14603.7940865196,PR,11230
NA,NA,NA,NA,NA,CP,11230
NA,NA,NA,NA,3137.66706259744,RI,11240
NA,NA,NA,NA,NA,MA,11240
NA,NA,NA,NA,NA,FA,11240
NA,NA,NA,NA,598.862361881002,GI,11240
NA,NA,NA,NA,NA,FR,11240
NA,NA,0.373287942784373,782.96229462605,11589.6136608828,CB,11240
NA,NA,NA,NA,NA,PI,11240
NA,NA,NA,NA,NA,BR,11240
NA,NA,NA,NA,NA,AR,11240
NA,NA,NA,NA,1537.9961048048,CR,11240
NA,NA,NA,NA,NA,HG,11240
NA,NA,NA,NA,10843.4127374142,SA,11240
NA,NA,NA,NA,NA,PV,11240
338.235517089372,2175.00940270163,5220.54650897754,7321.38397822762,13005.905445734,LG,11240
NA,NA,NA,NA,NA,CZ,11240
NA,NA,NA,NA,NA,HV,11240
NA,NA,NA,28.3737538059941,7376.95266236103,UC,11240
NA,NA,NA,NA,NA,CA,11240
NA,NA,NA,NA,NA,CO,11240
NA,NA,NA,NA,1719.42564539053,RO,11240
NA,NA,NA,NA,NA,OB,11240
NA,NA,NA,NA,NA,PR,11240
NA,NA,NA,NA,NA,CP,11240
1960.70263859781,7842.81055440311,15389.0591688899,20044.8398982267,31214.7468921979,RI,12100
1502.25579496194,4773.3551126644,8704.03463225772,12511.2859037388,22770.878423376,MA,12100
NA,541.802205577244,2192.660780424,3972.56505913449,17537.7960654576,FA,12100
1693.2262256816,7185.92410774902,14462.0193045624,21967.6818885421,66114.2710655861,GI,12100
1647.52000197768,5253.72121379524,10493.6499295735,17557.30575711,66045.7458175155,FR,12100
149.778845589608,1765.71430097807,3611.77175469464,5823.21548054554,31899.4096708263,CB,12100
1687.226472785,7267.24844325916,15985.2534992052,27803.9578780762,110105.656365922,PI,12100
NA,NA,NA,NA,461.102363977581,BR,12100
1691.8933012411,7256.71950874757,16602.5114757365,29810.1087588165,120079.309356003,AR,12100
NA,32.7335259150714,1271.77211075032,3667.28412157204,30444.1611229571,CR,12100
1960.70263861329,7842.81055438053,17218.4752557506,30470.6432209276,96006.8093270453,HG,12100
497.847561658942,3560.05614383379,9427.53387249447,17488.381854679,65749.8301724084,SA,12100
NA,NA,NA,NA,NA,PV,12100
919.904738234356,2904.18080142001,6061.72959969658,9830.60650638025,27907.3798272787,LG,12100
NA,42.6506877490319,952.148703407292,4262.85795338172,32443.4641803019,CZ,12100
139.844661738724,2105.64516370371,5374.67889771238,8052.22046509385,25454.6419513905,HV,12100
NA,NA,NA,NA,5429.24110625443,UC,12100
NA,899.600053460512,3684.56149802261,9008.60410879925,47220.5206312599,CA,12100
NA,NA,NA,NA,2621.50696242489,CO,12100
456.277389649549,3187.62352080806,8495.50069160946,15733.2575835816,45827.9722813643,RO,12100
1941.5371785952,6719.23284507077,15390.2757725893,28143.1624333356,111001.070965923,OB,12100
NA,NA,NA,NA,NA,PR,12100
135.663657218218,1321.10394129716,2619.05991471745,3925.54735446605,17268.1761132423,CP,12100
NA,NA,NA,NA,571.154812960885,RI,12210
NA,NA,NA,NA,NA,MA,12210
NA,NA,NA,NA,NA,FA,12210
NA,NA,NA,NA,NA,GI,12210
NA,NA,NA,NA,NA,FR,12210
NA,NA,NA,NA,NA,CB,12210
NA,NA,NA,NA,NA,PI,12210
NA,NA,NA,NA,NA,BR,12210
NA,NA,NA,NA,NA,AR,12210
NA,NA,NA,NA,NA,CR,12210
NA,NA,NA,NA,814.915312128374,HG,12210
NA,NA,NA,NA,NA,SA,12210
NA,NA,NA,NA,NA,PV,12210
NA,NA,NA,NA,NA,LG,12210
NA,NA,NA,NA,NA,CZ,12210
NA,NA,NA,NA,NA,HV,12210
NA,NA,NA,NA,NA,UC,12210
NA,NA,NA,NA,NA,CA,12210
NA,NA,NA,NA,NA,CO,12210
NA,NA,NA,NA,NA,RO,12210
NA,NA,NA,NA,NA,OB,12210
NA,NA,NA,NA,NA,PR,12210
NA,NA,NA,NA,NA,CP,12210
NA,NA,621.46273429133,2020.72791872569,24083.6497314014,RI,12220
251.076425861567,753.384945967235,1700.81567655411,2639.93728444725,10256.0618874212,MA,12220
966.075469565811,2313.45634928255,3323.00667858406,5269.58931490724,17643.3272286458,FA,12220
267.476412912831,582.9171196362,890.085525527655,1778.44007279165,8595.20310475366,GI,12220
313.182636627927,2589.08934060068,7152.6738178127,12829.9132106558,25584.6876344918,FR,12220
NA,NA,NA,NA,NA,CB,12220
273.476165817934,575.562111138133,899.292899423279,1406.07610658299,7701.89824499969,PI,12220
69.1477914887946,1416.46014811192,2311.26463674236,4667.38645763788,16820.3139092673,BR,12220
268.809337366372,586.091045625508,1043.81227164506,1561.13345867395,5405.65951409301,AR,12220
NA,NA,NA,752.515939000528,2580.18181312084,CR,12220
NA,NA,427.848491605371,900.598996544257,8899.13306470308,HG,12220
1002.76609480148,2051.35796099436,3082.66158781108,4097.89030172548,15223.4505925477,SA,12220
326.54939879803,1479.34017396532,2614.8437051574,5313.04421171377,23602.578956102,PV,12220
280.352743338794,589.608357578516,899.857073641848,1924.21692757308,4796.76805875078,LG,12220
186.239236803725,897.070418037474,1431.12245240249,1943.47942845523,4070.33599059447,CZ,12220
413.047561205924,962.450675308704,1476.89014613256,1983.88240867853,5670.96922523342,HV,12220
NA,NA,NA,311.847607303411,7626.1352457823205,UC,12220
NA,NA,567.686566706747,1478.4808451623,5750.33075849569,CA,12220
244.444296413101,575.510190328583,2408.99752030615,7129.31822428107,19901.8081509327,CO,12220
729.960592852207,2332.45276277978,3276.22393972427,4132.91764171794,9134.38955269684,RO,12220
NA,546.399852046743,1249.05595380813,1821.50102292001,6084.54850626737,OB,12220
422.035972161219,3222.28418195341,6894.82184290653,10033.2696109302,29754.4267215393,PR,12220
NA,625.166372617474,1603.38549692929,3342.3313287748,10376.5877308701,CP,12220
