25,50,75,100,200,site,var
NA,NA,NA,NA,219.764305841178,AR,11230
NA,NA,NA,NA,14603.7940865196,CR,11230
NA,NA,NA,NA,NA,HG,11230
NA,NA,NA,NA,NA,SA,11230
NA,NA,NA,NA,NA,PV,11230
NA,NA,NA,NA,NA,LG,11230
NA,NA,NA,NA,NA,CZ,11230
NA,NA,NA,NA,NA,HV,11230
NA,NA,NA,NA,NA,UC,11230
NA,NA,NA,NA,NA,CA,11230
NA,NA,NA,NA,NA,CO,11230
NA,NA,NA,NA,NA,RO,11230
NA,NA,NA,NA,NA,OB,11230
NA,NA,NA,NA,NA,PR,11230
NA,NA,NA,NA,NA,CP,11230
338.235517089372,2175.00940270163,0.373287942784373,782.96229462605,3137.66706259744,RI,11240
NA,NA,5220.54650897754,7321.38397822762,598.862361881002,MA,11240
NA,NA,NA,28.3737538059941,11589.6136608828,FA,11240
NA,NA,NA,NA,1537.9961048048,GI,11240
NA,NA,NA,NA,10843.4127374142,FR,11240
NA,NA,NA,NA,13005.905445734,CB,11240
NA,NA,NA,NA,7376.95266236103,PI,11240
NA,NA,NA,NA,1719.42564539053,BR,11240
NA,NA,NA,NA,NA,AR,11240
NA,NA,NA,NA,NA,CR,11240
NA,NA,NA,NA,NA,HG,11240
NA,NA,NA,NA,NA,SA,11240
NA,NA,NA,NA,NA,PV,11240
NA,NA,NA,NA,NA,LG,11240
NA,NA,NA,NA,NA,CZ,11240
NA,NA,NA,NA,NA,HV,11240
NA,NA,NA,NA,NA,UC,11240
NA,NA,NA,NA,NA,CA,11240
NA,NA,NA,NA,NA,CO,11240
NA,NA,NA,NA,NA,RO,11240
NA,NA,NA,NA,NA,OB,11240
NA,NA,NA,NA,NA,PR,11240
NA,NA,NA,NA,NA,CP,11240
1960.70263859781,7842.81055440311,15389.0591688899,20044.8398982267,31214.7468921979,RI,12100
1502.25579496194,4773.3551126644,8704.03463225772,12511.2859037388,22770.878423376,MA,12100
1693.2262256816,541.802205577244,2192.660780424,3972.56505913449,17537.7960654576,FA,12100
1647.52000197768,7185.92410774902,14462.0193045624,21967.6818885421,66114.2710655861,GI,12100
149.778845589608,5253.72121379524,10493.6499295735,17557.30575711,66045.7458175155,FR,12100
1687.226472785,1765.71430097807,3611.77175469464,5823.21548054554,31899.4096708263,CB,12100
1691.8933012411,7267.24844325916,15985.2534992052,27803.9578780762,110105.656365922,PI,12100
1960.70263861329,7256.71950874757,16602.5114757365,29810.1087588165,461.102363977581,BR,12100
497.847561658942,32.7335259150714,1271.77211075032,3667.28412157204,120079.309356003,AR,12100
919.904738234356,7842.81055438053,17218.4752557506,30470.6432209276,30444.1611229571,CR,12100
139.844661738724,3560.05614383379,9427.53387249447,17488.381854679,96006.8093270453,HG,12100
456.277389649549,2904.18080142001,6061.72959969658,9830.60650638025,65749.8301724084,SA,12100
1941.5371785952,42.6506877490319,952.148703407292,4262.85795338172,27907.3798272787,PV,12100
135.663657218218,2105.64516370371,5374.67889771238,8052.22046509385,32443.4641803019,LG,12100
NA,899.600053460512,3684.56149802261,9008.60410879925,25454.6419513905,CZ,12100
NA,3187.62352080806,8495.50069160946,15733.2575835816,5429.24110625443,HV,12100
NA,6719.23284507077,15390.2757725893,28143.1624333356,47220.5206312599,UC,12100
NA,1321.10394129716,2619.05991471745,3925.54735446605,2621.50696242489,CA,12100
NA,NA,NA,NA,45827.9722813643,CO,12100
NA,NA,NA,NA,111001.070965923,RO,12100
NA,NA,NA,NA,17268.1761132423,OB,12100
NA,NA,NA,NA,NA,PR,12100
NA,NA,NA,NA,NA,CP,12100
NA,NA,NA,NA,571.154812960885,RI,12210
NA,NA,NA,NA,814.915312128374,MA,12210
NA,NA,NA,NA,NA,FA,12210
NA,NA,NA,NA,NA,GI,12210
NA,NA,NA,NA,NA,FR,12210
NA,NA,NA,NA,NA,CB,12210
NA,NA,NA,NA,NA,PI,12210
NA,NA,NA,NA,NA,BR,12210
NA,NA,NA,NA,NA,AR,12210
NA,NA,NA,NA,NA,CR,12210
NA,NA,NA,NA,NA,HG,12210
NA,NA,NA,NA,NA,SA,12210
NA,NA,NA,NA,NA,PV,12210
NA,NA,NA,NA,NA,LG,12210
NA,NA,NA,NA,NA,CZ,12210
NA,NA,NA,NA,NA,HV,12210
NA,NA,NA,NA,NA,UC,12210
NA,NA,NA,NA,NA,CA,12210
NA,NA,NA,NA,NA,CO,12210
NA,NA,NA,NA,NA,RO,12210
NA,NA,NA,NA,NA,OB,12210
NA,NA,NA,NA,NA,PR,12210
NA,NA,NA,NA,NA,CP,12210
251.076425861567,753.384945967235,621.46273429133,2020.72791872569,24083.6497314014,RI,12220
966.075469565811,2313.45634928255,1700.81567655411,2639.93728444725,10256.0618874212,MA,12220
267.476412912831,582.9171196362,3323.00667858406,5269.58931490724,17643.3272286458,FA,12220
313.182636627927,2589.08934060068,890.085525527655,1778.44007279165,8595.20310475366,GI,12220
273.476165817934,575.562111138133,7152.6738178127,12829.9132106558,25584.6876344918,FR,12220
69.1477914887946,1416.46014811192,899.292899423279,1406.07610658299,7701.89824499969,CB,12220
268.809337366372,586.091045625508,2311.26463674236,4667.38645763788,16820.3139092673,PI,12220
1002.76609480148,2051.35796099436,1043.81227164506,1561.13345867395,5405.65951409301,BR,12220
326.54939879803,1479.34017396532,427.848491605371,752.515939000528,2580.18181312084,AR,12220
280.352743338794,589.608357578516,3082.66158781108,900.598996544257,8899.13306470308,CR,12220
186.239236803725,897.070418037474,2614.8437051574,4097.89030172548,15223.4505925477,HG,12220
413.047561205924,962.450675308704,899.857073641848,5313.04421171377,23602.578956102,SA,12220
244.444296413101,575.510190328583,1431.12245240249,1924.21692757308,4796.76805875078,PV,12220
729.960592852207,2332.45276277978,1476.89014613256,1943.47942845523,4070.33599059447,LG,12220
422.035972161219,546.399852046743,567.686566706747,1983.88240867853,5670.96922523342,CZ,12220
NA,3222.28418195341,2408.99752030615,311.847607303411,7626.1352457823205,HV,12220
NA,625.166372617474,3276.22393972427,1478.4808451623,5750.33075849569,UC,12220
NA,NA,1249.05595380813,7129.31822428107,19901.8081509327,CA,12220
NA,NA,6894.82184290653,4132.91764171794,9134.38955269684,CO,12220
NA,NA,1603.38549692929,1821.50102292001,6084.54850626737,RO,12220
NA,NA,NA,10033.2696109302,29754.4267215393,OB,12220
NA,NA,NA,3342.3313287748,10376.5877308701,PR,12220
NA,NA,NA,NA,NA,CP,12220
