pltnt
La_s
As_i
Ce_s
Ti_s
Bi_s
K_i
U_i
W_i
B_i
Cs_i
Tl_i
B_s
Ba_i
Nb_i
V_i
Ga_i
Nb_s
Rb_i
Al_s
U_s
Sr_i
Zn_i
Ba_s
Ga_s
As_s
Ca_i
Cd_i
Ce_i
Co_i
Co_s
Fe_s
La_i
Ni_s
Sb_i
Zr_s
