PM10
Bi_i
Cd_s
Cr_i
Cr_s
Cs_s
Cu_i
Fe_i
K_s
Li_i
Li_s
Mn_i
Mn_s
Mo_s
Ni_i
Pb_i
Rb_s
Sn_i
Tl_s
W_s
Zn_s
Zr_i
