site,100
AR,59
BR,158
CA,292
CB,2
CO,341
CP,1
CR,8
CZ,512
FA,18
FR,27
GI,10
HG,19
HV,295
LG,27
MA,1
OB,138
PI,353
PR,24
PV,388
RI,1
RO,45
SA,268
UC,296
