Site,area
AR,1960.70263859781
BR,1502.25579496194
CB,1693.2262256816
CO,1647.52000197768
CP,149.778845589608
CR,1687.226472785
FA,1691.8933012411
GI,1960.70263861329
HG,497.847561658942
LG,919.904738234356
OB,139.844661738724
RI,456.277389649549
RO,1941.5371785952
UC,135.663657218218
