Site,area
RI,15733.2575835846
MA,4262.8579533819
FA,29810.1087588607
GI,30470.6432209932
FR,3667.28412156459
CB,21967.6818884442
PI,NA
BR,12511.2859037149
AR,20044.8398982172
CR,27803.957878037
HG,17488.3818546808
SA,NA
PV,NA
LG,9830.60650638281
CZ,NA
HV,NA
UC,3925.54735446
CA,3972.5650591483
CO,17557.3057571033
RO,28143.1624333402
OB,8052.22046509583
PR,9008.60410881811
CP,5823.21548052365
