Site,area
AR,7842.81055440311
BR,4773.3551126644
CA,541.802205577244
CB,7185.92410774902
CO,5253.72121379524
CP,1765.71430097807
CR,7267.24844325916
FA,7256.71950874757
FR,32.7335259150714
GI,7842.81055438053
HG,3560.05614383379
LG,2904.18080142001
MA,42.6506877490319
OB,2105.64516370371
PR,899.600053460512
RI,3187.62352080806
RO,6719.23284507077
UC,1321.10394129716
