Site,area
RI,NA
MA,NA
FA,NA
GI,NA
FR,NA
CB,NA
PI,NA
BR,NA
AR,NA
CR,NA
HG,NA
SA,NA
PV,NA
LG,NA
CZ,NA
HV,NA
UC,NA
CA,NA
CO,NA
RO,NA
OB,NA
PR,NA
CP,NA
