Site,area
BR,753.384945967235
CA,2313.45634928255
CB,582.9171196362
CO,2589.08934060068
CR,575.562111138133
CZ,1416.46014811192
FA,586.091045625508
HG,2051.35796099436
HV,1479.34017396532
LG,589.608357578516
MA,897.070418037474
OB,962.450675308704
PV,575.510190328583
RI,2332.45276277978
RO,546.399852046743
SA,3222.28418195341
UC,625.166372617474
