Site,area
RI,45827.9722813549
MA,32443.4641802951
FA,120079.30935601
GI,96006.8093270482
FR,30444.1611229591
CB,66114.2710655349
PI,5429.24110626057
BR,22770.8784233914
AR,31214.7468921803
CR,110105.656365893
HG,65749.8301724177
SA,NA
PV,2621.50696242228
LG,27907.3798272717
CZ,461.10236397991
HV,NA
UC,17268.1761131915
CA,17537.7960654278
CO,66045.7458176259
RO,111001.070965913
OB,25454.6419513999
PR,47220.5206312491
CP,31899.4096708454
