Site,area
RI,NA
MA,NA
FA,NA
GI,NA
FR,NA
CB,NA
PI,15639.564704836
BR,58620.0116730756
AR,NA
CR,NA
HG,NA
SA,57878.2001585878
PV,26863.352450806
LG,NA
CZ,NA
HV,3627.2024631009
UC,20.4100982919335
CA,NA
CO,NA
RO,5215.92954247911
OB,68091.9085189137
PR,18656.4118949594
CP,NA
