Site,area
RI,4132.91764172073
MA,1943.4794284213
FA,1561.1334586805
GI,900.598996525747
FR,752.515938990749
CB,1778.44007282519
PI,311.84760731994197
BR,2639.93728445466
AR,2020.72791870619
CR,1406.07610659787
HG,4097.89030173118
SA,10033.2696109024
PV,7129.31822429784
LG,1924.21692758612
CZ,4667.38645767607
HV,5313.04421174573
UC,3342.33132872602
CA,5269.58931494178
CO,12829.9132106155
RO,1821.50102291664
OB,1983.88240870711
PR,1478.48084517859
CP,NA
