Site,area
AR,15389.0591688899
BR,8704.03463225772
CA,2192.660780424
CB,14462.0193045624
CO,10493.6499295735
CP,3611.77175469464
CR,15985.2534992052
FA,16602.5114757365
FR,1271.77211075032
GI,17218.4752557506
HG,9427.53387249447
LG,6061.72959969658
MA,952.148703407292
OB,5374.67889771238
PR,3684.56149802261
RI,8495.50069160946
RO,15390.2757725893
UC,2619.05991471745
