Site,area
RI,1719.4256453861
MA,NA
FA,NA
GI,NA
FR,1537.99610480122
CB,598.862361882551
PI,7376.95266235806
BR,NA
AR,3137.6670626034
CR,NA
HG,10843.4127374158
SA,NA
PV,NA
LG,13005.9054457555
CZ,NA
HV,NA
UC,NA
CA,NA
CO,NA
RO,NA
OB,NA
PR,NA
CP,11589.6136608854
