Site,area
RI,9134.3895526845
MA,4070.33599057421
FA,5405.65951410448
GI,8899.13306472788
FR,2580.18181308359
CB,8595.20310470214
PI,7626.13524579117
BR,10256.0618875018
AR,24083.6497313293
CR,7701.89824504592
HG,15223.4505925472
SA,29754.4267215574
PV,19901.8081509541
LG,4796.76805880305
CZ,16820.3139093058
HV,23602.5789559592
UC,10376.5877310114
CA,17643.3272285915
CO,25584.6876345749
RO,6084.54850626411
OB,5670.96922526928
PR,5750.33075844869
CP,NA
