Site,area
RI,NA
MA,NA
FA,NA
GI,NA
FR,NA
CB,NA
PI,NA
BR,23403.9066808572
AR,18436.8486865938
CR,2028.88924122788
HG,NA
SA,6499.28162831767
PV,49603.1971710454
LG,NA
CZ,14259.6104573553
HV,39278.4152010557
UC,71031.0065732338
CA,40342.5112222005
CO,19994.2111903466
RO,NA
OB,2980.57635292551
PR,8831.38445067219
CP,NA
