Site,area
RI,8118.50846358377
MA,NA
FA,NA
GI,NA
FR,7109.10122120194
CB,NA
PI,49809.2455056747
BR,2861.68892359314
AR,14377.4358919668
CR,NA
HG,NA
SA,14603.7940865061
PV,NA
LG,24184.5288078557
CZ,NA
HV,NA
UC,NA
CA,NA
CO,5595.99452670594
RO,219.764305839315
OB,NA
PR,14374.7509278366
CP,NA
