Site,area
RI,NA
MA,NA
FA,NA
GI,NA
FR,NA
CB,NA
PI,NA
BR,5270.91973372176
AR,NA
CR,NA
HG,NA
SA,NA
PV,26110.4152653476
LG,NA
CZ,59038.3784004021
HV,58976.7722499322
UC,26765.1372497806
CA,24931.880382108
CO,NA
RO,NA
OB,NA
PR,NA
CP,NA
