Site,area
RI,NA
MA,NA
FA,NA
GI,NA
FR,NA
CB,NA
PI,NA
BR,491.225289059221
AR,NA
CR,NA
HG,NA
SA,NA
PV,1196.33115470177
LG,NA
CZ,14054.3071268662
HV,10762.0865419879
UC,6723.56778920547
CA,5380.25041811791
CO,NA
RO,NA
OB,NA
PR,NA
CP,NA
