Site,area
RI,NA
MA,NA
FA,NA
GI,NA
FR,NA
CB,NA
PI,NA
BR,14078.9609174677
AR,NA
CR,NA
HG,NA
SA,16913.5459373316
PV,11929.2403277005
LG,NA
CZ,NA
HV,434.864047334064
UC,NA
CA,NA
CO,NA
RO,NA
OB,18155.6424353307
PR,8637.82756669587
CP,NA
