25_area,50_area,75_area,100_area,200_area,site,var
NA,NA,621.46273429133,2020.72791870619,24083.6497313293,AR,12220
251.076425861567,753.384945967235,1700.81567655411,2639.93728445466,10256.0618875018,BR,12220
966.075469565811,2313.45634928255,3323.00667858406,5269.58931494178,17643.3272285915,CA,12220
267.476412912831,582.9171196362,890.085525527655,1778.44007282519,8595.20310470214,CB,12220
313.182636627927,2589.08934060068,7152.6738178127,12829.9132106155,25584.6876345749,CO,12220
NA,NA,NA,NA,NA,CP,12220
273.476165817934,575.562111138133,899.292899423279,1406.07610659787,7701.89824504592,CR,12220
69.1477914887946,1416.46014811192,2311.26463674236,4667.38645767607,16820.3139093058,CZ,12220
268.809337366372,586.091045625508,1043.81227164506,1561.1334586805,5405.65951410448,FA,12220
NA,NA,NA,752.515938990749,2580.18181308359,FR,12220
NA,NA,427.848491605371,900.598996525747,8899.13306472788,GI,12220
1002.76609480148,2051.35796099436,3082.66158781108,4097.89030173118,15223.4505925472,HG,12220
326.54939879803,1479.34017396532,2614.8437051574,5313.04421174573,23602.5789559592,HV,12220
280.352743338794,589.608357578516,899.857073641848,1924.21692758612,4796.76805880305,LG,12220
186.239236803725,897.070418037474,1431.12245240249,1943.4794284213,4070.33599057421,MA,12220
413.047561205924,962.450675308704,1476.89014613256,1983.88240870711,5670.96922526928,OB,12220
NA,NA,NA,311.84760731994197,7626.13524579117,PI,12220
NA,NA,567.686566706747,1478.48084517859,5750.33075844869,PR,12220
244.444296413101,575.510190328583,2408.99752030615,7129.31822429784,19901.8081509541,PV,12220
729.960592852207,2332.45276277978,3276.22393972427,4132.91764172073,9134.3895526845,RI,12220
NA,546.399852046743,1249.05595380813,1821.50102291664,6084.54850626411,RO,12220
422.035972161219,3222.28418195341,6894.82184290653,10033.2696109024,29754.4267215574,SA,12220
NA,625.166372617474,1603.38549692929,3342.33132872602,10376.5877310114,UC,12220
