Site,area
RI,1972.03892247658
MA,NA
FA,NA
GI,NA
FR,7109.10122120194
CB,NA
PI,23194.8913490849
BR,1620.02679261891
AR,NA
CR,NA
HG,NA
SA,2647.84895831579
PV,NA
LG,1372.32217047631
CZ,NA
HV,NA
UC,NA
CA,NA
CO,NA
RO,NA
OB,NA
PR,1709.82719824067
CP,NA
