Site,area
RI,NA
MA,NA
FA,NA
GI,NA
FR,NA
CB,NA
PI,NA
BR,29.8060302220983
AR,4698.58132427942
CR,NA
HG,NA
SA,NA
PV,11116.3525108378
LG,NA
CZ,5335.62067326275
HV,14861.2474164721
UC,17379.795745106
CA,7691.02615403058
CO,984.023249731166
RO,NA
OB,NA
PR,NA
CP,NA
