Site,area
RI,NA
MA,NA
FA,NA
GI,814.91531212884
FR,NA
CB,NA
PI,NA
BR,NA
AR,571.154812953435
CR,NA
HG,NA
SA,NA
PV,NA
LG,NA
CZ,NA
HV,NA
UC,NA
CA,NA
CO,NA
RO,NA
OB,NA
PR,NA
CP,NA
