25_area,50_area,75_area,100_area,200_area,site,var
NA,NA,1086.32799971849,4698.58132427942,18436.8486865938,AR,11210
NA,NA,NA,29.8060302220983,23403.9066808572,BR,11210
0.439934809226543,1145.53065635788,3877.2308282142,7691.02615403058,40342.5112222005,CA,11210
NA,NA,NA,NA,NA,CB,11210
NA,NA,NA,984.023249731166,19994.2111903466,CO,11210
NA,NA,NA,NA,NA,CP,11210
NA,NA,NA,NA,2028.88924122788,CR,11210
1891.55484711751,3681.2576600723,4785.6666065231,5335.62067326275,14259.6104573553,CZ,11210
NA,NA,NA,NA,NA,FA,11210
NA,NA,NA,NA,NA,FR,11210
NA,NA,NA,NA,NA,GI,11210
NA,NA,NA,NA,NA,HG,11210
1558.98212183081,4296.73172612395,9026.8772096755,14861.2474164721,39278.4152010557,HV,11210
NA,NA,NA,NA,NA,LG,11210
NA,NA,NA,NA,NA,MA,11210
NA,NA,NA,NA,2980.57635292551,OB,11210
NA,NA,NA,NA,NA,PI,11210
NA,NA,NA,NA,8831.38445067219,PR,11210
187.462351413444,2218.2313079061,5981.47305012587,11116.3525108378,49603.1971710454,PV,11210
NA,NA,NA,NA,NA,RI,11210
NA,NA,NA,NA,NA,RO,11210
NA,NA,NA,NA,6499.28162831767,SA,11210
1825.03898139228,5824.60166948738,10891.1268813387,17379.795745106,71031.0065732338,UC,11210
