X2016.11.02,X2016.12.01,X2017.01.01,X2017.02.01,X2017.03.01,X2017.04.01,X2017.05.01,X2017.06.01,X2017.07.01,X2017.08.01,X2017.09.01,X2017.10.01,X2017.11.01,X2017.12.01,X2018.01.01,pt_misura$Site
0.05620476603507995,0.03643164464405605,0.03298156885873703,0.03793707631883167,0.07855453377678281,0.11956825710478285,0.08109524136497862,0.05128730336825053,0.04421812721661159,0.04893087773095993,0.05508571579342797,0.05572965031578427,0.03459365169207255,0.01718279648394811,0.0190829506942204,RI
0.2680052738440664,0.20833107985948263,0.19147199392318728,0.1994943712887011,0.2582784483307286,0.34933510265852274,0.3588472228301199,0.31918422485652725,0.269448227004001,0.2642020473354741,0.29226142168045044,0.26754160617527206,0.14381228936345955,0.0791426199047189,0.05566214113251159,MA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GI
0.3424904942512512,0.2926897278853825,0.26567436116082327,0.25217178038188387,0.24291245994113744,0.26497937951769146,0.3127465574514298,0.36966033776601154,0.5112396620568775,0.5609170822870164,0.5504889176005409,0.3910461025578635,0.28634763615471975,0.15600768875862872,0.15533641233508075,FR
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CB
0.03905555747804187,0.03900153863997686,0.04008602244513375,0.04401870852424985,0.05043318158104306,0.05279206661950974,0.04826881771995908,0.04589682817459106,0.04841782365526471,0.05159754412514823,0.05159047671726772,0.04479109389441354,0.04238254115695045,0.03835944902329218,0.03624270643506731,PI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BR
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AR
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CR
0.1581809605870928,0.15304148197174072,0.15120430503572738,0.15758843932832992,0.1779738948458717,0.2103682699657622,0.22390630699339367,0.21805397669474283,0.19252996217636836,0.18876037427357265,0.21064921220143637,0.17332719905035837,0.1256761976650783,0.11518126442318873,0.11110906941550118,HG
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PV
0.21232168078422547,0.15765323340892792,0.14009839296340942,0.15483929216861725,0.21113710403442384,0.3065366804599762,0.3374242126941681,0.30507668256759646,0.28233065009117125,0.2832032322883606,0.29940168261528016,0.27322904467582704,0.204051673412323,0.1562354952096939,0.14168064892292023,LG
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CZ
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HV
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UC
0.120576673746109,0.10800322890281676,0.10214032828807831,0.10744643211364746,0.12537097334861755,0.15473501086235047,0.17494356036186218,0.1836933374404907,0.1896032392978668,0.206466144323349,0.17049334049224854,0.1780887186527252,0.16259334087371827,0.11751936078071594,0.09356290698051452,CA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CO
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RO
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OB
0.21949825788799085,0.18574873710933484,0.17484550727041143,0.18880452294098704,0.24357726385718895,0.3060158051942524,0.2375195340106362,0.15697895225725675,0.12983871917975576,0.1419541647559718,0.23443334039888883,0.24979118924391897,0.14761053417858325,0.0659983060077617,0.04861290635246979,PR
0.5254916965961456,0.49325970411300657,0.4826145350933075,0.5001768052577973,0.5626290559768676,0.708810031414032,0.7755226135253906,0.7140833675861359,0.6542806804180146,0.5564968049526214,0.5609483599662781,0.5529097080230713,0.4606850206851959,0.33571776151657107,0.3260371148586273,CP
