m_dis,site
480.9454159069866,RI
853.8807166830321,MA
1282.6115408997618,FA
114.6929661371329,GI
539.5663637571596,FR
184.48171743114963,CB
91.03403619377295,PI
659.3642686896841,BR
82.83409860028117,AR
64.40269304184453,CR
55.78350633051727,HG
326.95601173932107,SA
726.356074425233,PV
1056.8953670025728,LG
210.17779179836637,CZ
485.8462885032257,HV
971.8914140168915,UC
929.4040354277313,CA
674.6055182917194,CO
29.93210698518164,RO
30.22570222030285,OB
420.1597685657896,PR
627.6150393851656,CP
