25_area,50_area,75_area,100_area,200_area,site,var
NA,NA,NA,NA,NA,FA,11230
787.46879538038,3124.66260164371,6613.95815987699,7109.10122120194,7109.10122120194,FR,11230
NA,NA,NA,NA,NA,GI,11230
NA,NA,NA,NA,NA,HG,11230
NA,NA,NA,NA,NA,HV,11230
NA,NA,NA,1372.3221704904,24184.528807915,LG,11230
NA,NA,NA,NA,NA,MA,11230
NA,NA,NA,NA,NA,OB,11230
1960.7026386098,7842.81055439683,15226.2821144476,23194.891349107,49809.2455056383,PI,11230
NA,NA,53.3245806611958,1709.82719823098,14374.7509278858,PR,11230
NA,NA,NA,NA,NA,PV,11230
NA,69.6332523573656,1070.50766570307,1972.0389224646501,8118.50846358899,RI,11230
NA,NA,NA,NA,219.764305841178,RO,11230
NA,0.141666518640704,1269.51116013993,2647.84895831812,14603.7940865196,SA,11230
NA,NA,NA,NA,NA,UC,11230
NA,NA,NA,NA,3137.66706259744,AR,11240
NA,NA,NA,NA,NA,BR,11240
NA,NA,NA,NA,NA,CA,11240
NA,NA,NA,NA,598.862361881002,CB,11240
NA,NA,NA,NA,NA,CO,11240
NA,NA,0.373287942784373,782.96229462605,11589.6136608828,CP,11240
NA,NA,NA,NA,NA,CR,11240
NA,NA,NA,NA,NA,CZ,11240
NA,NA,NA,NA,NA,FA,11240
NA,NA,NA,NA,1537.9961048048,FR,11240
NA,NA,NA,NA,NA,GI,11240
NA,NA,NA,NA,10843.4127374142,HG,11240
NA,NA,NA,NA,NA,HV,11240
338.235517089372,2175.00940270163,5220.54650897754,7321.38397822762,13005.905445734,LG,11240
NA,NA,NA,NA,NA,MA,11240
NA,NA,NA,NA,NA,OB,11240
NA,NA,NA,28.3737538059941,7376.95266236103,PI,11240
NA,NA,NA,NA,NA,PR,11240
NA,NA,NA,NA,NA,PV,11240
NA,NA,NA,NA,1719.42564539053,RI,11240
NA,NA,NA,NA,NA,RO,11240
NA,NA,NA,NA,NA,SA,11240
NA,NA,NA,NA,NA,UC,11240
1960.70263859781,7842.81055440311,15389.0591688899,20044.8398982267,31214.7468921979,AR,12100
1502.25579496194,4773.3551126644,8704.03463225772,12511.2859037388,22770.878423376,BR,12100
NA,541.802205577244,2192.660780424,3972.56505913449,17537.7960654576,CA,12100
1693.2262256816,7185.92410774902,14462.0193045624,21967.6818885421,66114.2710655861,CB,12100
1647.52000197768,5253.72121379524,10493.6499295735,17557.30575711,66045.7458175155,CO,12100
149.778845589608,1765.71430097807,3611.77175469464,5823.21548054554,31899.4096708263,CP,12100
1687.226472785,7267.24844325916,15985.2534992052,27803.9578780762,110105.656365922,CR,12100
NA,NA,NA,NA,461.102363977581,CZ,12100
1691.8933012411,7256.71950874757,16602.5114757365,29810.1087588165,120079.309356003,FA,12100
NA,32.7335259150714,1271.77211075032,3667.28412157204,30444.1611229571,FR,12100
1960.70263861329,7842.81055438053,17218.4752557506,30470.6432209276,96006.8093270453,GI,12100
497.847561658942,3560.05614383379,9427.53387249447,17488.381854679,65749.8301724084,HG,12100
NA,NA,NA,NA,NA,HV,12100
919.904738234356,2904.18080142001,6061.72959969658,9830.60650638025,27907.3798272787,LG,12100
NA,42.6506877490319,952.148703407292,4262.85795338172,32443.4641803019,MA,12100
139.844661738724,2105.64516370371,5374.67889771238,8052.22046509385,25454.6419513905,OB,12100
NA,NA,NA,NA,5429.24110625443,PI,12100
NA,899.600053460512,3684.56149802261,9008.60410879925,47220.5206312599,PR,12100
NA,NA,NA,NA,2621.50696242489,PV,12100
456.277389649549,3187.62352080806,8495.50069160946,15733.2575835816,45827.9722813643,RI,12100
1941.5371785952,6719.23284507077,15390.2757725893,28143.1624333356,111001.070965923,RO,12100
NA,NA,NA,NA,NA,SA,12100
135.663657218218,1321.10394129716,2619.05991471745,3925.54735446605,17268.1761132423,UC,12100
NA,NA,NA,NA,571.154812960885,AR,12210
NA,NA,NA,NA,NA,BR,12210
NA,NA,NA,NA,NA,CA,12210
NA,NA,NA,NA,NA,CB,12210
NA,NA,NA,NA,NA,CO,12210
NA,NA,NA,NA,NA,CP,12210
NA,NA,NA,NA,NA,CR,12210
NA,NA,NA,NA,NA,CZ,12210
