25,50,75,100,200,site
NA,NA,4.60492957746479,4.40869565217391,3.01400349555891,AR
3.04,2.61333333333333,2.19889873739801,2.20619852585651,3.73195622020434,BR
NA,11.5588818895968,8.46696036012114,7.04567701154529,6.62735932284095,CA
NA,NA,NA,NA,0.421719457013575,CB
NA,NA,NA,9.70075757575758,6.80228146869495,CO
NA,NA,0.228571428571429,0.20952380952381,0.266333333333333,CP
NA,NA,NA,NA,4.1197619047619,CR
7.1,7.3641167719357,8.72794114798001,9.08195063779929,8.66263125030939,CZ
NA,NA,NA,NA,NA,FA
0.72,0.927272727272727,0.9375,0.916666666666667,0.916326094018601,FR
NA,NA,NA,NA,NA,GI
NA,NA,NA,NA,0.325879396984925,HG
6.3143182824951,6.11360616813706,6.44293727813909,6.37693733358712,7.57563207426088,HV
NA,0.17,0.166666666666667,0.289043898093616,0.903702981880256,LG
NA,NA,NA,NA,NA,MA
1.4,1.53333333333333,1.504,1.91794871794872,2.54615076616553,OB
7.4,5.58823529411765,4.72558139534884,3.77735741433059,3.25734409608962,PI
1.4,1.37142857142857,1.45109656439023,1.46780949020182,1.77564028670078,PR
2.77749444448878,4.18323242731313,4.50538594294447,5.44281961353953,7.52724185671442,PV
NA,NA,0.866666666666667,1.1,1.19963441753903,RI
NA,NA,NA,NA,3.64336858094882,RO
6.6,6.09990648622101,4.96402432023406,4.33169995144588,3.78839362237775,SA
6.6625,5.95581630162555,6.00893084889106,5.70486132823355,4.99086510372327,UC
