t2m,tmin2m,tmax2m,tp,ptp,rh,u10m,v10m,wspeed,wspeed_max,pwspeed,wdir,sp,nirradiance,pbl00,pbl12,pblmin,pblmax,data
8.5,4.6,13.191666666666666,2.191666666666667,2.2416666666666667,86.3,-0.7416666666666667,-0.1,1.1589124181875101,2.2261681150220505,1.193134821438529,88.90050013283258,952.8083333333334,66.61666666666666,0.07666666666666666,0.6741666666666667,0.0325,0.8325,2016-11-01
4.429032258064516,0.2967741935483871,9.86774193548387,0.14516129032258066,0.14516129032258066,82.17096774193548,-0.7258064516129032,-0.5483870967741935,1.003165661576101,1.9813637144188327,1.006631965117988,58.45561049507508,961.2645161290322,67.89032258064516,0.034516129032258064,0.3851612903225807,0.02064516129032258,0.5196774193548387,2016-12-01
0.9032258064516129,-2.7225806451612904,5.525806451612903,2.564516129032258,2.5548387096774197,81.51935483870967,-0.7,-0.7096774193548387,1.452055337074922,2.689645923745351,1.437212109981396,61.834926724039555,952.1096774193549,67.25483870967741,0.2067741935483871,0.6193548387096774,0.1,0.7645161290322581,2017-01-01
6.864285714285714,2.7071428571428573,11.32857142857143,2.4714285714285715,2.335714285714286,83.95714285714286,-0.3607142857142857,0.4321428571428571,1.1996056205729986,2.6150647925277135,1.1468016354734292,104.1489689882193,953.525,93.73928571428571,0.15964285714285714,0.7785714285714286,0.062142857142857146,1.0010714285714286,2017-02-01
8.90967741935484,3.458064516129032,14.612903225806452,2.4741935483870967,2.606451612903226,75.1774193548387,-0.23870967741935484,-0.09354838709677421,1.314188882487598,2.9526687486405563,1.3965905795347195,122.09082224365193,952.1903225806452,158.1451612903226,0.15516129032258064,1.231290322580645,0.03258064516129032,1.485483870967742,2017-03-01
11.15,5.0633333333333335,16.793333333333333,1.8466666666666667,1.8466666666666667,71.04666666666667,-0.21666666666666667,0.1633333333333333,1.1917810436690106,2.9878803524162905,1.19923460359401,123.58144916910445,951.46,204.53333333333333,0.09333333333333334,1.5066666666666666,0.04766666666666667,1.7386666666666666,2017-04-01
15.87741935483871,9.738709677419354,21.670967741935485,1.6161290322580646,1.6161290322580646,68.77096774193548,-0.061290322580645165,-0.003225806451612898,0.990356265509473,2.64039223571093,0.9747594918502288,167.7415495071069,951.9741935483871,231.36451612903227,0.046129032258064515,1.5990322580645162,0.02193548387096774,1.8483870967741935,2017-05-01
22.696666666666665,16.34,28.87,0.8266666666666667,0.6066666666666667,55.07666666666667,0.24666666666666667,0.44666666666666666,1.1005845172486228,2.5111271916088262,1.0673901220684197,191.3189856522464,951.8333333333334,256.85333333333335,0.071,1.8023333333333333,0.04066666666666667,2.1083333333333334,2017-06-01
23.88064516129032,17.48709677419355,29.961290322580645,0.48709677419354835,0.7,52.035483870967745,0.24838709677419354,0.15483870967741933,1.0650953082638874,2.8263238264381023,1.1128156901620379,218.67773389073352,951.6161290322581,260.4225806451613,0.07580645161290323,1.854516129032258,0.02870967741935484,2.1796774193548387,2017-07-01
25.906451612903226,19.135483870967743,32.46774193548387,0.3096774193548387,0.2870967741935484,45.50967741935484,0.17419354838709677,-0.009677419354838714,1.0054582402508678,2.474931479931549,0.9758915103363788,201.60304856581607,952.9032258064516,236.0741935483871,0.10193548387096775,1.9958064516129033,0.04548387096774194,2.471290322580645,2017-08-01
16.266666666666666,11.903333333333334,20.8,6.833333333333333,6.8566666666666665,76.93333333333334,0.009999999999999998,0.5033333333333333,1.137261537623452,2.4839588733814666,1.1549915100257626,174.30632598722673,951.34,153.72333333333333,0.12066666666666667,1.2463333333333333,0.042666666666666665,1.4586666666666668,2017-09-01
13.651612903225807,8.654838709677419,19.016129032258064,0.9903225806451613,0.9806451612903226,73.29032258064517,-0.32903225806451614,-0.0903225806451613,0.8285580000336895,2.395026025486235,0.8265404471233633,104.04200083331557,955.5451612903225,128.38387096774193,0.08645161290322581,1.047741935483871,0.01935483870967742,1.2019354838709677,2017-10-01
8.033333333333333,4.363333333333333,12.09,3.6,3.3733333333333335,85.53333333333333,-0.47000000000000003,0.3,1.201076931476001,2.559363334576153,1.1861698116260024,108.5352598642321,949.8066666666666,72.61333333333333,0.14733333333333334,0.7983333333333333,0.04533333333333334,0.9343333333333333,2017-11-01
3.796774193548387,0.38387096774193546,7.816129032258065,6.02258064516129,6.241935483870968,86.35483870967742,-0.4,0.432258064516129,1.505048949747962,2.747739948862526,1.511374096297014,103.18480598487218,952.2129032258065,53.95161290322581,0.21193548387096775,0.6532258064516129,0.08032258064516129,0.8619354838709677,2017-12-01
5.858064516129033,1.6612903225806452,10.390322580645162,2.2129032258064516,2.196774193548387,86.04838709677419,-0.5,0.36129032258064514,1.0518659166859172,2.5543538301738886,1.0438492861909923,111.77892579116454,952.7032258064517,67.80645161290323,0.1067741935483871,0.6525806451612903,0.04387096774193549,0.8816129032258064,2018-01-01
4.094736842105263,0.6631578947368422,8.115789473684211,4.6157894736842104,4.368421052631579,85.72105263157894,-0.35789473684210527,0.21052631578947367,1.2690598531178092,2.3626610248280158,1.2769896472416729,116.0396041513757,946.8210526315789,79.24736842105263,0.1568421052631579,0.7773684210526316,0.08526315789473685,0.9994736842105263,2018-02-01
