data,data_inizio,data_fine,month_y,Season,associazione_ispra,site,NOME_ST,SEASON,MONTH,Cr_i,kndvi,t2m_mean,t2m_IQR,tmin2m_IQR,tmax2m_IQR,tp_max,tp_median,rh_IQR,u10m_min,u10m_max,u10m_IQR,v10m_min,v10m_max,v10m_mean,v10m_median,wspeed_min,wspeed_max,wspeed_IQR,wspeed_max_max,wspeed_max_median,wspeed_max_IQR,sp_min,nirradiance_IQR,pbl00_min,pbl00_max,pbl00_IQR,pbl12_min,pbl12_max,pbl12_IQR,pblmin_max,pblmin_median,pblmin_IQR,pblmax_IQR,imp_25,imp_50,imp_75,imp_100,imp_200,bh_25,bh_50,bh_75,bh_100,bh_200,pop_25,pop_50,pop_75,pop_100,pop_200,min_d,ml_25,ml_50,ml_75,ml_100,ml_200,cold_area,hot_area,scrapyard,s1_sup_25,s1_sup_50,s1_sup_75,s1_sup_100,s1_sup_200,s2_sup_25,s2_sup_50,s2_sup_75,s2_sup_100,s2_sup_200,s3_sup_25,s3_sup_50,s3_sup_75,s3_sup_100,s3_sup_200,s4_sup_25,s4_sup_50,s4_sup_75,s4_sup_100,s4_sup_200,s5_sup_25,s5_sup_50,s5_sup_75,s5_sup_100,s5_sup_200,s6_sup_25,s6_sup_50,s6_sup_75,s6_sup_100,s6_sup_200,s7_sup_25,s7_sup_50,s7_sup_75,s7_sup_100,s7_sup_200,s8_sup_25,s8_sup_50,s8_sup_75,s8_sup_100,s8_sup_200
2016-11-01,2016-11-19,2016-12-12,December_16,Winter,nov-16,RI,RIZZI,winter,December,27.973351632641393,0.22941817188073477,7.083333333333333,5.025000000000001,3.675,2.4000000000000004,15.8,0,5.550000000000011,-1.2,-0.3,0.20000000000000007,-2.3,1.7,-0.23333333333333336,-0.3,0.4242640687119285,2.5942243542145693,0.314159017605919,5.49270582130107,1.6456943276797351,1.0263965371050348,946.1,17.400000000000006,0.01,0.49,0.015,0.19,1.14,0.31,0.22,0.01,0.01,0.31750000000000006,70.52631578947368,66.76923076923077,60,52.44904458598726,34.80365659777424,0,0,4.333333333333333,5.5,6.903030303030303,0,0,0,1,3,40.86593057768258,56.6667991514269,172.799833987073,281.39744362057,382.564669157952,944.150184971188,159.75283195485247,1223.233793940086,1427.1635770327698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.6332523573656,1070.50766570307,1972.0389224646501,8118.50846358899,0,0,0,0,1719.42564539053,456.277389649549,3187.62352080806,8495.50069160946,15733.2575835816,45827.9722813643,0,0,0,0,0,729.960592852207,2332.45276277978,3276.22393972427,4132.91764171794,9134.38955269684
2016-11-01,2016-11-19,2016-12-12,December_16,Winter,nov-16,MA,MARATTA,winter,December,31.32126722708298,0.2846024666035895,7.083333333333333,5.025000000000001,3.675,2.4000000000000004,15.8,0,5.550000000000011,-1.2,-0.3,0.20000000000000007,-2.3,1.7,-0.23333333333333336,-0.3,0.4242640687119285,2.5942243542145693,0.314159017605919,5.49270582130107,1.6456943276797351,1.0263965371050348,946.1,17.400000000000006,0.01,0.49,0.015,0.19,1.14,0.31,0.22,0.01,0.01,0.31750000000000006,29.5,14.423076923076923,11.72316384180791,12.51602564102564,23.03184713375796,0,5,5.666666666666667,5.666666666666667,6.621621621621622,0,0,0,1,4,129.50990350107668,27.2884885803581,91.1539144960684,144.037467978394,195.323051333448,407.86759607263,1252.6025205942683,2207.74585199859,2286.6669844150897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.6506877490319,952.148703407292,4262.85795338172,32443.4641803019,0,0,0,0,0,186.239236803725,897.070418037474,1431.12245240249,1943.47942845523,4070.33599059447
2016-11-01,2016-11-19,2016-12-12,December_16,Winter,nov-16,FA,FALEGNAMERIA,winter,December,33.69788986103964,0.05638371175497887,7.083333333333333,5.025000000000001,3.675,2.4000000000000004,15.8,0,5.550000000000011,-1.2,-0.3,0.20000000000000007,-2.3,1.7,-0.23333333333333336,-0.3,0.4242640687119285,2.5942243542145693,0.314159017605919,5.49270582130107,1.6456943276797351,1.0263965371050348,946.1,17.400000000000006,0.01,0.49,0.015,0.19,1.14,0.31,0.22,0.01,0.01,0.31750000000000006,71.25,85.1875,88.02272727272727,88.02215189873418,88.09777424483306,5.5,6.161290322580645,6.240963855421687,6.287769784172662,6.185263157894737,1,4,10,18,72,87.69342841504024,44.7847345163052,97.3850865498289,176.50316736331,262.545075750089,788.099023411884,3114.151918454927,3982.119609515594,3983.449732135725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1691.8933012411,7256.71950874757,16602.5114757365,29810.1087588165,120079.309356003,0,0,0,0,0,268.809337366372,586.091045625508,1043.81227164506,1561.13345867395,5405.65951409301
2016-11-01,2016-11-19,2016-12-12,December_16,Winter,nov-16,GI,GIORGETTI,winter,December,45.79973694744668,0.09940537587691547,7.083333333333333,5.025000000000001,3.675,2.4000000000000004,15.8,0,5.550000000000011,-1.2,-0.3,0.20000000000000007,-2.3,1.7,-0.23333333333333336,-0.3,0.4242640687119285,2.5942243542145693,0.314159017605919,5.49270582130107,1.6456943276797351,1.0263965371050348,946.1,17.400000000000006,0.01,0.49,0.015,0.19,1.14,0.31,0.22,0.01,0.01,0.31750000000000006,100,90.79746835443038,76.71910112359551,69.76190476190476,66.97133757961784,9.8,8.666666666666666,8.555555555555555,8.075,7.4485981308411215,0,2,6,10,32,4.844352901383352,0,0,71.7895658590652,150.071963360479,1043.11101028942,2607.3575451534753,3536.1549917663733,3574.045423540045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1960.70263861329,7842.81055438053,17218.4752557506,30470.6432209276,96006.8093270453,0,0,0,0,814.915312128374,0,0,427.848491605371,900.598996544257,8899.13306470308
2016-11-01,2016-11-19,2016-12-12,December_16,Winter,nov-16,FR,FRANCESCA,winter,December,37.17075541831075,0.3093396123414307,7.083333333333333,5.025000000000001,3.675,2.4000000000000004,15.8,0,5.550000000000011,-1.2,-0.3,0.20000000000000007,-2.3,1.7,-0.23333333333333336,-0.3,0.4242640687119285,2.5942243542145693,0.314159017605919,5.49270582130107,1.6456943276797351,1.0263965371050348,946.1,17.400000000000006,0.01,0.49,0.015,0.19,1.14,0.31,0.22,0.01,0.01,0.31750000000000006,10.857142857142858,21.772151898734176,18.73446327683616,19.143312101910823,17.277290836653385,3.6,4.636363636363637,4.6875,4.583333333333333,5.286885245901639,1,14,26,27,37,185.8152281980935,0,0,124.497704674885,258.30245533766,590.773400501095,2897.1689012796587,3879.363859890814,3945.865102778486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,787.46879538038,3124.66260164371,6613.95815987699,7109.10122120194,7109.10122120194,0,0,0,0,1537.9961048048,0,32.7335259150714,1271.77211075032,3667.28412157204,30444.1611229571,0,0,0,0,0,0,0,0,752.515939000528,2580.18181312084
2016-11-01,2016-11-19,2016-12-12,December_16,Winter,nov-16,CB,CASA BATIK,winter,December,39.902213072568195,0.2620931848525096,7.083333333333333,5.025000000000001,3.675,2.4000000000000004,15.8,0,5.550000000000011,-1.2,-0.3,0.20000000000000007,-2.3,1.7,-0.23333333333333336,-0.3,0.4242640687119285,2.5942243542145693,0.314159017605919,5.49270582130107,1.6456943276797351,1.0263965371050348,946.1,17.400000000000006,0.01,0.49,0.015,0.19,1.14,0.31,0.22,0.01,0.01,0.31750000000000006,95.83333333333331,92.0125,79.75287356321839,65.0732484076433,39.12898089171974,7.538461538461538,7.533333333333333,8.850746268656716,9.73404255319149,8.434389140271493,0,0,1,2,8,126.37082097231922,45.1445736783811,97.625291585414,148.437361769827,297.040764812697,1238.23727111687,4051.5880307815382,5052.919836332229,5125.684921221193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598.862361881002,1693.2262256816,7185.92410774902,14462.0193045624,21967.6818885421,66114.2710655861,0,0,0,0,0,267.476412912831,582.9171196362,890.085525527655,1778.44007279165,8595.20310475366
2016-11-01,2016-11-19,2016-12-12,December_16,Winter,nov-16,PI,PIA,winter,December,34.732469834734374,0.21444520989885216,7.083333333333333,5.025000000000001,3.675,2.4000000000000004,15.8,0,5.550000000000011,-1.2,-0.3,0.20000000000000007,-2.3,1.7,-0.23333333333333336,-0.3,0.4242640687119285,2.5942243542145693,0.314159017605919,5.49270582130107,1.6456943276797351,1.0263965371050348,946.1,17.400000000000006,0.01,0.49,0.015,0.19,1.14,0.31,0.22,0.01,0.01,0.31750000000000006,25.42105263157895,44.85,43.40571428571429,36.58860759493671,33.11914217633042,37,27.941176470588236,23.627906976744185,18.904109589041095,14.30188679245283,24,99,216,353,1105,235.3777285879619,0,0,0,114.266851506636,1601.30627797129,1398.8798795557332,2466.7516468802332,2654.993367228565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15639.5647048289,1960.7026386098,7842.81055439683,15226.2821144476,23194.891349107,49809.2455056383,0,0,0,28.3737538059941,7376.95266236103,0,0,0,0,5429.24110625443,0,0,0,0,0,0,0,0,311.847607303411,7626.1352457823205
2016-11-01,2016-11-19,2016-12-12,December_16,Winter,nov-16,BR,BORGO RIVO,winter,December,32.51615485789444,0.14166208730017402,7.083333333333333,5.025000000000001,3.675,2.4000000000000004,15.8,0,5.550000000000011,-1.2,-0.3,0.20000000000000007,-2.3,1.7,-0.23333333333333336,-0.3,0.4242640687119285,2.5942243542145693,0.314159017605919,5.49270582130107,1.6456943276797351,1.0263965371050348,946.1,17.400000000000006,0.01,0.49,0.015,0.19,1.14,0.31,0.22,0.01,0.01,0.31750000000000006,97.21052631578948,78.71794871794872,63.09142857142857,57.69206349206349,61.752782193958666,7.6,6.533333333333333,5.724137931034483,5.576470588235294,7.650872817955112,3,20,61,158,883,20.97612438559062,42.1069873506064,128.550993672729,308.339131468553,584.954394608189,2368.77073527774,4717.0121394553835,5763.825021874103,5878.922473757107,0,0,0,491.225289055612,5270.91973372176,0,0,0,29.806030222564,23403.9066808225,207.370417776518,2316.07049574703,6667.4041888183,14078.9609174771,58620.0116731748,0,0,574.069249786087,1620.02679261402,2861.68892359314,0,0,0,0,0,1502.25579496194,4773.3551126644,8704.03463225772,12511.2859037388,22770.878423376,0,0,0,0,0,251.076425861567,753.384945967235,1700.81567655411,2639.93728444725,10256.0618874212
2016-11-01,2016-11-19,2016-12-12,December_16,Winter,nov-16,AR,ARPA,winter,December,34.162806656373306,0.21114151366358563,7.083333333333333,5.025000000000001,3.675,2.4000000000000004,15.8,0,5.550000000000011,-1.2,-0.3,0.20000000000000007,-2.3,1.7,-0.23333333333333336,-0.3,0.4242640687119285,2.5942243542145693,0.314159017605919,5.49270582130107,1.6456943276797351,1.0263965371050348,946.1,17.400000000000006,0.01,0.49,0.015,0.19,1.14,0.31,0.22,0.01,0.01,0.31750000000000006,92.72222222222224,83.1923076923077,79.91279069767442,69.49367088607595,45.80701754385965,6.470588235294118,6.534883720930233,7.084507042253521,6.782608695652174,7.216101694915254,3,15,35,59,410,11.970022747191445,0,0,105.080944414917,253.448061098196,2003.27437990593,6004.7178362101495,7033.651355801294,7124.922904092545,0,0,0,0,0,0,0,1086.32799971849,4698.58132426348,18436.8486865989,0,0,0,0,0,0,0,0,0,14377.4358919905,0,0,0,0,3137.66706259744,1960.70263859781,7842.81055440311,15389.0591688899,20044.8398982267,31214.7468921979,0,0,0,0,571.154812960885,0,0,621.46273429133,2020.72791872569,24083.6497314014
2016-11-01,2016-11-19,2016-12-12,December_16,Winter,nov-16,CR,CROSSFIT,winter,December,39.98930040168325,0.03112360833699949,7.083333333333333,5.025000000000001,3.675,2.4000000000000004,15.8,0,5.550000000000011,-1.2,-0.3,0.20000000000000007,-2.3,1.7,-0.23333333333333336,-0.3,0.4242640687119285,2.5942243542145693,0.314159017605919,5.49270582130107,1.6456943276797351,1.0263965371050348,946.1,17.400000000000006,0.01,0.49,0.015,0.19,1.14,0.31,0.22,0.01,0.01,0.31750000000000006,100,98.53846153846152,95.99435028248588,95.66349206349206,89.9315831344471,8.857142857142858,7.111111111111111,6.746478873239437,6.431372549019608,6.338095238095238,0,2,5,8,31,262.2504893154021,40.4377581092841,91.210933489654,148.606029198452,232.150774951381,1148.17848655385,3118.6436026149513,4153.175724250741,4384.738544539148,0,0,0,0,0,0,0,0,0,2028.88924124348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1687.226472785,7267.24844325916,15985.2534992052,27803.9578780762,110105.656365922,0,0,0,0,0,273.476165817934,575.562111138133,899.292899423279,1406.07610658299,7701.89824499969
